Comune,Località,Nome_località,Alt,accessibilità principale,descrizione tipologica,servizi,elementi urbanistici,viabilità interna 1,viabilità interna 2,edifici civili,edifici rurali,edifici multifunzione,edifici in rovina,uso originario - attuale 1,uso originario - attuale 2,stato di conservazione,giacitura e soleggiamento (descrizione morfologica)
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Valle Dentro / Borzi (https://www.notion.so/Valle-Dentro-Borzi-2b1ffb09ad564db5878372dad7760704?pvs=21),Case di Pietra [Val di dentro/Borzi],1746,sentiero,accentrato,0, ,pedonale,terra battuta,0,6,2,2,stagionale,stagionale,senza gravi alterazioni ma in stato di abbandono e carente di manutenzione,in piano montagna / scarso
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Case Gossi (https://www.notion.so/Case-Gossi-388d11306eea41f48e1bd665672cb5e4?pvs=21),Case Gossi,1284,strada asfaltata,accentrato,"ILL, RE, RI",fontana,veicolare,terra battuta,20,22,8,7,permanente,permanente,complesso in discrete condizioni con interventi di recupero non corretti,in piano montagna / buono
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Alpe Laghetti (https://www.notion.so/Alpe-Laghetti-6daf8b5b4f45403498a47b24dbba8dba?pvs=21),Chiodia,2038,sentiero,accentrato,0, ,pedonale,terra battuta,0,0,0,3,stagionale,abbandono,complesso in pessime condizioni di conservazione,in pendenza montagna / buono
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),Cimaganda (https://www.notion.so/Cimaganda-a9e3372981be41cfaa06794a6d829b92?pvs=21),Cimaganda,900,strada asfaltata,lineare,"BT, ILL, RE, RI, RT, TP","fontana, lavatoio, soste",veicolare,,28,16,2,4,permanente,permanente,complesso in discrete condizioni con interventi di recupero non corretti,in pendenza fondovalle / medio
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),Coda (https://www.notion.so/Coda-2c85b4da99e0484a86a20d931a9d0b83?pvs=21),Coda,1165,sentiero,sparso,0,fontana,pedonale,"terra battuta, piode, acciottolato",12,2,1,4,stagionale,stagionale,complesso in discrete condizioni di conservazione,in pendenza montagna / buono
Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-e3ee37c7c7da48e09f77f9ba6472db9a?pvs=21),Corti - Acero,,strada asfaltata,accentrato,"BT, C, ILL, RE, RI, RT, TP","fontana, lavatoio, passaggi coperti, soste",veicolare,porfido/granito,284,31,4,2,permanente,permanente,complesso in discrete condizioni con interventi di recupero non corretti,in piano montagna / buono
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),Motta San Guglielmo (https://www.notion.so/Motta-San-Guglielmo-0a936808a9e34335959c17e883d3f80e?pvs=21),Crotti La Motta,600,,lineare,"RE, RI",fontana,pedonale,"terra battuta, piode, acciottolato",2,0,13,1,discontinuo,discontinuo,complesso in discrete condizioni con interventi di recupero non corretti,in pendenza fondovalle / medio
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),Dalo (https://www.notion.so/Dalo-34f5655dbb3b42b1b7b70a18d0f99d93?pvs=21),Dalo,1108,mulattiera,lineare,"RE, RI","vasca in pietra monolitica, fontana, panche",pedonale,"terra battuta, piode, acciottolato",35,22,5,10,permanente,stagionale,complesso in discrete condizioni con interventi di recupero non corretti,in piano mezza costa / buono
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),Filigheccio (https://www.notion.so/Filigheccio-45092ec050b242d8a28567b19f496d3e?pvs=21),Filigheccio,1133,sentiero,accentrato,0,,pedonale,"terra battuta, piode, acciottolato",3,5,4,2,stagionale,abbandono,senza gravi alterazioni ma in stato di abbandono e carente di manutenzione,in pendenza mezza costa / buono
Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Fraciscio (https://www.notion.so/Fraciscio-592929440fdd42e6a321f27ae9826033?pvs=21),Fraciscio,1350,strada asfaltata,sparso,"BT, C, ILL, RE, RI, RT, TP","fontana, lavatoio",veicolare,terra battuta,172,26,4,0,permanente,permanente,complesso in discrete condizioni con interventi di recupero non corretti,in pendenza montagna / medio
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Alpe Frondaglio (https://www.notion.so/Alpe-Frondaglio-2d1ac67d621d40e699ad7d1fe023cba2?pvs=21),Frondaglio,1682,sentiero,accentrato,0,fontana,pedonale,terra battuta,7,26,0,10,stagionale,abbandono,senza gravi alterazioni ma in stato di abbandono e carente di manutenzione,in pendenza montagna / buono
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),Gallivaggio (https://www.notion.so/Gallivaggio-18a72f5d334648b5b3fc1178ff421adc?pvs=21),Gallivaggio,800,strada asfaltata,lineare,"BT, C, ILL, RE, RI, RT, TP",fontana,veicolare,"terra battuta, piode, acciottolato, porfido/granito",7,0,0,0,permanente,permanente,complesso in discrete condizioni con interventi di recupero non corretti,in pendenza fondovalle / medio
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Ganda (https://www.notion.so/Ganda-abaf7283808c468dbc8e04eb01930dd9?pvs=21),Ganda,1475,strada sterrata,accentrato,0,fontana,pedonale,terra battuta,5,8,2,1,stagionale,stagionale,complesso in discrete condizioni con interventi di recupero non corretti,in pendenza montagna / buono
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Scalcoggia (https://www.notion.so/Scalcoggia-cf80bab9e63547a7a9f570b9f34675ea?pvs=21),Il Buco,1504,strada asfaltata,accentrato,"RE, RI, RT", ,veicolare,terra battuta,4,3,0,0,permanente,permanente,complesso in discrete condizioni con interventi di recupero non corretti,in piano montagna / medio
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Isola (https://www.notion.so/Isola-59cbc18aa9b1402fb2a0ba148ceaf494?pvs=21),Isola,1258,strada asfaltata,lineare,"BT, C, ILL, RE, RI, RT, TP","fontana, soste",veicolare,terra battuta,60,17,6,5,permanente,permanente,complesso in discrete condizioni con interventi di recupero non corretti,in pendenza montagna / medio
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),La Motta (https://www.notion.so/La-Motta-08b6041769ee412b963eee76ed144522?pvs=21),La Motta,1056,,accentrato,"ILL, RE, RI, RT","fontana, lavatoio",pedonale,acciottolato a coltello con traversine trasversali,19,9,9,1,permanente,permanente,complesso in discrete condizioni con interventi di recupero non corretti,in pendenza mezza costa / medio
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Scalcoggia (https://www.notion.so/Scalcoggia-cf80bab9e63547a7a9f570b9f34675ea?pvs=21),La Stufa,1488,sentiero,accentrato,"RE, RI",fontana,pedonale,terra battuta,2,1,1,0,permanente,stagionale,complesso in discrete condizioni con interventi di recupero non corretti,in piano montagna / medio
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),Lagunc (https://www.notion.so/Lagunc-833abe7f4e6a4f45956a6dbb4cd4e87b?pvs=21),Lagunc,1348,sentiero,,0,"fontana, soste",pedonale,"terra battuta, piode, acciottolato",22,11,1,0,stagionale,stagionale,complesso in discrete condizioni con interventi di recupero non corretti,in pendenza montagna / buono
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),Lirone (https://www.notion.so/Lirone-2bc1895b4a674102a583d2e05d0e4aee?pvs=21),Lirone,900,strada asfaltata,accentrato,"BT, ILL, RE, RI, RT, TP","fontana, soste",pedonale,"terra battuta, piode, acciottolato",34,21,4,4,permanente,permanente,complesso in discrete condizioni con interventi di recupero non corretti,in pendenza fondovalle / medio
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Alpe Maccolini (https://www.notion.so/Alpe-Maccolini-a9a37fceff0b4004a8bba93ee6150b31?pvs=21),Macolini,1668,strada asfaltata,a nuclei,"RE, RI",fontana,veicolare,terra battuta,15,5,1,0,permanente,discontinuo,complesso in discrete condizioni con interventi di recupero non corretti,in piano montagna / medio
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Alpe Andossi (https://www.notion.so/Alpe-Andossi-fec50a02b5ae437eaad3a4d24adbefa0?pvs=21),Martegno,1802,strada sterrata,accentrato,"BT, RE, RI, TP",fontana,veicolare,terra battuta,15,7,4,2,stagionale,stagionale,complesso in discrete condizioni con interventi di recupero non corretti,in piano montagna / buono
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),Martinone (https://www.notion.so/Martinone-1207c49d99b1808bae45fa17c7acd643?pvs=21),Martinone,1242,mulattiera,a nuclei,"ILL, RE, RI",vasca in pietra monolitica,pedonale,acciottolato a coltello con traversine trasversali,20,8,9,0,permanente,permanente,complesso in discrete condizioni di conservazione,in pendenza mezza costa / buono
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Montespluga (https://www.notion.so/Montespluga-1091553a26e74c3680def1aebced948d?pvs=21),Montespluga,1905,strada asfaltata,accentrato,"BT, ILL, RE, RI, RT, TP","fontana, soste",veicolare,terra battuta,74,15,6,0,permanente,permanente,complesso in discrete condizioni con interventi di recupero non corretti,in piano montagna / medio
Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Alpe Motta (https://www.notion.so/Alpe-Motta-9e4d782b149e4d8dad237e7ecc2cdb64?pvs=21),Motta Alta,1840,strada sterrata,a nuclei,"BT, ILL, RE, RI, RT",fontana,veicolare,terra battuta,29,21,7,1,permanente,permanente,complesso in discrete condizioni con interventi di recupero non corretti,in piano montagna / buono
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),Motta San Guglielmo (https://www.notion.so/Motta-San-Guglielmo-0a936808a9e34335959c17e883d3f80e?pvs=21),Motta di S Giacomo / S Guglielmo,600,strada asfaltata,accentrato,"ILL, RE, RI, RT",fontana,pedonale,"acciottolato a coltello con traversine trasversali, terra battuta, piode, acciottolato",5,6,4,0,permanente,permanente,complesso in discrete condizioni con interventi di recupero non corretti,in pendenza fondovalle / medio
Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Motta di Sotto / Marcadello (https://www.notion.so/Motta-di-Sotto-Marcadello-f5272861d33c47269c5fb3328fbc1bf5?pvs=21),Motta di Sotto / Marcadello,1720,strada asfaltata,sparso,"ILL, RE, RI, RT",fontana,veicolare,terra battuta,56,9,3,1,permanente,permanente,complesso in discrete condizioni con interventi di recupero non corretti,in piano montagna / buono
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Alpe Andossi (https://www.notion.so/Alpe-Andossi-fec50a02b5ae437eaad3a4d24adbefa0?pvs=21),Mottaccio,1707,strada sterrata,a nuclei,"RE, RI",fontana,pedonale,terra battuta,13,5,0,6,stagionale,stagionale,complesso in discrete condizioni con interventi di recupero non corretti,in pendenza montagna / buono
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Mottaletta (https://www.notion.so/Mottaletta-120a84cff7be43d7b1f4536e6ceaa14b?pvs=21),Mottaletta,1345,strada sterrata,accentrato,"BT, ILL, RE, RI",fontana,pedonale,terra battuta,23,15,8,2,permanente,permanente,complesso in discrete condizioni con interventi di recupero non corretti,in pendenza montagna / buono
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Alpe Andossi (https://www.notion.so/Alpe-Andossi-fec50a02b5ae437eaad3a4d24adbefa0?pvs=21),Motto della Croce / La Croce,1770,strada sterrata,a nuclei,"RE, RI", ,veicolare,terra battuta,19,13,3,2,stagionale,stagionale,complesso in discrete condizioni con interventi di recupero non corretti,in piano montagna / buono
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Scalcoggia (https://www.notion.so/Scalcoggia-cf80bab9e63547a7a9f570b9f34675ea?pvs=21),Muschi,1522,strada sterrata,accentrato,"RE, RI, RT","fontana, lavatoio",veicolare,terra battuta,3,0,2,0,permanente,permanente,complesso in discrete condizioni con interventi di recupero non corretti,in piano montagna / medio
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),Olmo (https://www.notion.so/Olmo-6f74852fc0c54fef96da140f7738b8f0?pvs=21),Olmo,1056,strada asfaltata,a nuclei,"C, RE, RI, RT, ILL, TP","fontana, soste",pedonale,acciottolato a coltello con traversine trasversali,36,16,21,0,permanente,permanente,complesso in discrete condizioni con interventi di recupero non corretti,in pendenza mezza costa / medio
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Palu / Palude (https://www.notion.so/Palu-Palude-44e066ae4ee04da7b103227e21764b2b?pvs=21),Palude / Palù,1828,strada asfaltata,lineare,"RE, RI",fontana,veicolare,terra battuta,21,19,5,0,stagionale,stagionale,complesso in discrete condizioni con interventi di recupero non corretti,in piano montagna / buono
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Pianazzo (https://www.notion.so/Pianazzo-70162b5d2b4e4e07854f2ee3faa93a2d?pvs=21),Pianazzo,1395,strada asfaltata,accentrato,"BT, C, ILL, RE, RI, RT, TP","fontana, lavatoio, passaggi coperti, soste",veicolare,terra battuta,74,8,4,0,permanente,permanente,complesso in discrete condizioni con interventi di recupero non corretti,in pendenza montagna /medio
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Pianello (https://www.notion.so/Pianello-8c555b306e254226a8984980f7d8ed14?pvs=21),Pianello,1746,strada sterrata,sparso,RI,fontana,pedonale,terra battuta,14,8,3,2,discontinuo,discontinuo,complesso in discrete condizioni con interventi di recupero non corretti,in pendenza montagna / buono
Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Pietra (https://www.notion.so/Pietra-860742dcde46489ab9959bb256d306e2?pvs=21),Pietra,1062,strada asfaltata,lineare,"ILL, RE, RI, RT",fontana,veicolare,,53,15,0,1,permanente,permanente,complesso in discrete condizioni con interventi di recupero non corretti,in piano montagna / medio
Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Portarezza (https://www.notion.so/Portarezza-5e1019ae64ee487dbcb542e14f2c7510?pvs=21),Portarezza,1066,strada asfaltata,lineare,"ILL, RE, RI, RT","fontana, soste",veicolare,,24,2,1,0,permanente,permanente,complesso in discrete condizioni con interventi di recupero non corretti,in piano montagna / medio
Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Prestone (https://www.notion.so/Prestone-eee4523141d6486eba1a6657e4a2b6dc?pvs=21),Prestone,1067,strada asfaltata,lineare,"BT, ILL, RE, RI, RT, TP","fontana, lavatoio, soste",veicolare,,96,27,0,2,permanente,permanente,complesso in discrete condizioni con interventi di recupero non corretti,in piano montagna / medio
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Rasdeglia (https://www.notion.so/Rasdeglia-46b3a5295f1a4980bdf662daff7037c5?pvs=21),Rasdeglia,1500,strada sterrata,accentrato,RI,fontana,pedonale,terra battuta,12,11,4,4,permanente,stagionale,complesso in discrete condizioni di conservazione,in pendenza montagna / buono
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),Sant’Antonio / Drogo (https://www.notion.so/Sant-Antonio-Drogo-50f3498d28e84fc4bd01967b0b4efd86?pvs=21),S Antonio / Drogo,1200,mulattiera,,RI,fontana,pedonale,acciottolato a coltello con traversine trasversali,16,7,0,1,stagionale,stagionale,complesso in discrete condizioni di conservazione,in piano montagna / buono
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),Sant’Antonio di Albareda (https://www.notion.so/Sant-Antonio-di-Albareda-ff557fa640e84f79be87d8a5920dd9a8?pvs=21),S Antonio di Albareda,833,strada asfaltata,accentrato,"C, RE, RI",fontana,pedonale,"acciottolato a coltello con traversine trasversali, terra battuta, piode, acciottolato",41,18,0,38,permanente,stagionale,complesso in discrete condizioni con interventi di recupero non corretti,in pendenza / buono
