Denominazione;Rollup - NP mod;Dati demografici 2022;UP - MOD USO 2023;UT - MOD USO 2023;NR - MOD USO 2023 - NR;DR - MOD USO 2023;D- MOD USO 2023;SFD - cons 2023 - SFD;FS - cons 2023;FD - cons 2023;PF - cons 2023 - PF;NR - cons 2023 - NR;SFD+FS/tot;Grigioni_sottosistemi;Grigioni_quartieri;dati mancanti da tab (DA RIVEDERE TUTTO) sgf;cons - 2023;2011_pop res;1991_CASE NN\ OCC+NON;2011-1991_pop res;1991_poprestot;1971_poprestot;1951_fr pop tot;1921_fr pop res;1921_fr n fam;1901_ fr pop;1881_fr pop;Loc_1861_pop res;Loc_1861_n fam;% 1861 ab non \ occ;1807_Fr_pop res;Grigioni_fr n fam ;1991-1971_VAR MEDIA pop res;1971-1951_VAR MEDIA pop res;1951-1921_VAR MEDIA pop res (1);1921-1901_VAR MEDIA pop res;1901-1881_VAR MEDIA pop res;1881-1861_VAR MEDIA pop res;1861-1807_VAR MEDIA pop res;MOD USO - 2023;NON ut  \ TOT VISTO;non ut \ tot - da riv;2011-% case non occ \tot;LOC SENZA LINK;Località ;Grigioni_fr stima n ab ;Loc_1861_ab non occ;Loc_1861_ab occ;1991-1971_dif pop res;1991_ab non occ;1991_ab occ;prova mu - 2023;1991 nuovo;Related to censimento 2011;Grigioni - pre ;1971-1951_ dif pop res;1861-1807_ dif pop res;1881-1861_dif pop res;1901-1881_dif pop res;1951-1921_dif pop res;1921-1901_dif pop res;1988 - NAF;censimento 2011;censimento 1971;censimento 1951;censimento 1921;censimento 1901;censimento 1881;censimento 1861;censimento 1807;mappa: inquadramento geografico territoriale;tabella: andamento demografico;Note sopralluogo;Comune
Tini;;;;;;;;;;;;;;"Terziere
  di Mezzo";"quartiere
  di Campodolcino,quartiere
  di Fraciscio";;;;;0;;;;;;;;252;57;0.150943396226;;;0;0;0;0;0;-12.6;4.666666666667;;;;;;;;8;45;0;;;;;;Tini (https://www.notion.so/Tini-1e9a9aca71f645bdb2f5d71ceef8fe77?pvs=21), Alpe Gualdera (https://www.notion.so/Alpe-Gualdera-046c1555beb94eb3b8d871a47672fd97?pvs=21), Pietra (https://www.notion.so/Pietra-f9a33e8ee4d54312993ec0ff385a8034?pvs=21), Alpe Mottala (https://www.notion.so/Alpe-Mottala-053b191dd16f469dbe704e71dee9aa87?pvs=21);0;252;-252;0;0;0;;;;;;;;Tini (https://www.notion.so/Tini-1eb9d720b69448f584e3a05a2f393298?pvs=21), Pietra (https://www.notion.so/Pietra-2bc153826363462abbc72979efa506ca?pvs=21);Case o Squadra Tini (https://www.notion.so/Case-o-Squadra-Tini-b05fb07a324b4bd98eebd9c014f0d777?pvs=21), Alpe Gualdera (https://www.notion.so/Alpe-Gualdera-9ecd9abc1d9d42cdbfb057a2a4b65001?pvs=21), Alpe Mottala (https://www.notion.so/Alpe-Mottala-bc9d8add5c5e4e29ac4e80d198f4d419?pvs=21), Pietra (https://www.notion.so/Pietra-aac4904e5ed34fefa8dbb7794e636e8c?pvs=21);;;;Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21)
Portarezza;;32;;10;4;71;102;12;10;40;83;4;1,0,0.071428571429,0.211538461538,0.538461538462,0.2;"Terziere
  di Mezzo";"quartiere
  di Portarezza";;"FD: 0
FS: 1
SFD: 0
PF: 0
NR: 0
NP: 0
,FD: 13
FS: 0
SFD: 0
PF: 42
NR: 0
NP: 0
,FD: 7
FS: 1
SFD: 0
PF: 6
NR: 0
NP: 0
,FD: 14
FS: 4
SFD: 7
PF: 27
NR: 4
NP: 0
,FD: 5
FS: 2
SFD: 5
PF: 1
NR: 0
NP: 0
,FD: 1
FS: 2
SFD: 0
PF: 7
NR: 0
NP: 0";;;0;;;;20;8;29;58;115;24;0.172413793103;217;42;0;0;-0.666666666667;-0.45;-1.45;-2.85;-1.888888888889;"UP: 0
UT: 1
DR: 0
D: 0
NR: 0
,UP: 0
UT: 0
DR: 30
D: 43
NR: 0
,UP: 0
UT: 0
DR: 6
D: 13
NR: 0
,UP: 0
UT: 7
DR: 27
D: 33
NR: 4
,UP: 0
UT: 2
DR: 1
D: 4
NR: 0
,UP: 0
UT: 0
DR: 7
D: 9
NR: 0";0.945355191257;0.7683013503909999;1;Portarezza Alpe Servizio di Sotto Calvedro Alpe di Servizio di Sopra Alpe Zanone Motta di Servizio;Portarezza (https://www.notion.so/Portarezza-5e1019ae64ee487dbcb542e14f2c7510?pvs=21), Alpe Servizio di Sotto (https://www.notion.so/Alpe-Servizio-di-Sotto-bf948bb9889f42d6ac72d94affd15f53?pvs=21), Calvedro (https://www.notion.so/Calvedro-e770984dd29a4fe68ebbbdaf91bfcd4b?pvs=21), Alpe di Servizio di Sopra (https://www.notion.so/Alpe-di-Servizio-di-Sopra-6b98127b4c6d43f2a0a3d073e898ff4f?pvs=21), Alpe Zanone (https://www.notion.so/Alpe-Zanone-0419e175e0cb49dcb3ff86d603d10f74?pvs=21), Motta di Servizio (https://www.notion.so/Motta-di-Servizio-7278d4aa3a7f444e91e1f72a73252b83?pvs=21);189;5;24;0;;;"Res-UP-SFD: 0
Res-UP-FS: 0
Res-UP-FD: 0
Res-UT-SFD: 0
Res-UT-FS: 0
Res-UT-FD: 0
Res-D-FS: 0
Res-D-FD: 0
A Prod-UT-SFD: 0
A Prod-UT-FS: 1
A Prod-UT-FD: 0
A Prod-D-FS: 0
A Prod-D-FD: 0
A Prod-DR-PF: 0
Multi-UP-SFD: 0
Multi-UP-FS: 0
Multi-UP-FD: 0
Multi-UT-SFD: 0
Multi-UT-FS: 0
Multi-UT-FD: 0
Multi-D-FS: 0
Multi-D-FD: 0
NR-NR: 0
,Res-UP-SFD: 0
Res-UP-FS: 0
Res-UP-FD: 0
Res-UT-SFD: 0
Res-UT-FS: 0
Res-UT-FD: 0
Res-D-FS: 0
Res-D-FD: 0
A Prod-UT-SFD: 0
A Prod-UT-FS: 0
A Prod-UT-FD: 0
A Prod-D-FS: 0
A Prod-D-FD: 1
A Prod-DR-PF: 0
Multi-UP-SFD: 0
Multi-UP-FS: 0
Multi-UP-FD: 0
Multi-UT-SFD: 0
Multi-UT-FS: 0
Multi-UT-FD: 0
Multi-D-FS: 0
Multi-D-FD: 2
NR-NR: 0
,Res-UP-SFD: 0
Res-UP-FS: 0
Res-UP-FD: 0
Res-UT-SFD: 0
Res-UT-FS: 0
Res-UT-FD: 0
Res-D-FS: 0
Res-D-FD: 0
A Prod-UT-SFD: 0
A Prod-UT-FS: 0
A Prod-UT-FD: 0
A Prod-D-FS: 1
A Prod-D-FD: 1
A Prod-DR-PF: 1
Multi-UP-SFD: 0
Multi-UP-FS: 0
Multi-UP-FD: 0
Multi-UT-SFD: 0
Multi-UT-FS: 0
Multi-UT-FD: 0
Multi-D-FS: 0
Multi-D-FD: 0
NR-NR: 0
,Res-UP-SFD: 0
Res-UP-FS: 0
Res-UP-FD: 0
Res-UT-SFD: 1
Res-UT-FS: 0
Res-UT-FD: 0
Res-D-FS: 0
Res-D-FD: 0
A Prod-UT-SFD: 0
A Prod-UT-FS: 0
A Prod-UT-FD: 1
A Prod-D-FS: 1
A Prod-D-FD: 1
A Prod-DR-PF: 1
Multi-UP-SFD: 0
Multi-UP-FS: 0
Multi-UP-FD: 0
Multi-UT-SFD: 0
Multi-UT-FS: 0
Multi-UT-FD: 0
Multi-D-FS: 1
Multi-D-FD: 0
NR-NR: 1
,Res-UP-SFD: 0
Res-UP-FS: 0
Res-UP-FD: 0
Res-UT-SFD: 1
Res-UT-FS: 0
Res-UT-FD: 0
Res-D-FS: 0
Res-D-FD: 0
A Prod-UT-SFD: 0
A Prod-UT-FS: 0
A Prod-UT-FD: 0
A Prod-D-FS: 0
A Prod-D-FD: 0
A Prod-DR-PF: 1
Multi-UP-SFD: 0
Multi-UP-FS: 0
Multi-UP-FD: 0
Multi-UT-SFD: 0
Multi-UT-FS: 0
Multi-UT-FD: 0
Multi-D-FS: 0
Multi-D-FD: 0
NR-NR: 0
,Res-UP-SFD: 0
Res-UP-FS: 0
Res-UP-FD: 0
Res-UT-SFD: 0
Res-UT-FS: 0
Res-UT-FD: 0
Res-D-FS: 1
Res-D-FD: 0
A Prod-UT-SFD: 0
A Prod-UT-FS: 0
A Prod-UT-FD: 0
A Prod-D-FS: 0
A Prod-D-FD: 0
A Prod-DR-PF: 0
Multi-UP-SFD: 0
Multi-UP-FS: 0
Multi-UP-FD: 0
Multi-UT-SFD: 0
Multi-UT-FS: 0
Multi-UT-FD: 0
Multi-D-FS: 1
Multi-D-FD: 0
NR-NR: 0";Case sparse_Alpe Servizio di sopra (https://www.notion.so/Case-sparse_Alpe-Servizio-di-sopra-f95fb82b556a4587b37588eaad6e2c7d?pvs=21), Case sparse_zona sopra servizio (https://www.notion.so/Case-sparse_zona-sopra-servizio-70aa46537cc84dcaa43279a8b191858b?pvs=21);case sparse CP_1991_02 (https://www.notion.so/case-sparse-CP_1991_02-91d824b6c4da4ee1a18cbbe6ccec6446?pvs=21), Alpe di Servizio (https://www.notion.so/Alpe-di-Servizio-5feeb103031e400abf207fda7b58cb07?pvs=21);Portarezza (https://www.notion.so/Portarezza-9a221ba5a79b4636afc5d93158239e59?pvs=21), Alpe Servizio di Sotto (https://www.notion.so/Alpe-Servizio-di-Sotto-31216d2a9f4e4dbab19e47d1ba5563db?pvs=21);0;-102;-57;-29;-20;-9;;;;;Portarezza (https://www.notion.so/Portarezza-f3a672d9c3d64b4195c75b8c4ce38dc5?pvs=21);Portarezza (https://www.notion.so/Portarezza-17f69d4cf5464386970c9d604709f946?pvs=21);Portarezza (https://www.notion.so/Portarezza-b946722934514b5eaa0076c59ee10d67?pvs=21);Portarezza (https://www.notion.so/Portarezza-ac29761fd2ad478787e9fc4b7189b8c8?pvs=21);Alpe Servizio di Sotto (https://www.notion.so/Alpe-Servizio-di-Sotto-3d9ce858d7074198bec9780067b9ce1d?pvs=21), Alpe Servizio di Sopra (https://www.notion.so/Alpe-Servizio-di-Sopra-8d7012142e0b4724939442614433fd3f?pvs=21), Portarezza (https://www.notion.so/Portarezza-99694c8d3f444387a926a80fe4be6f7e?pvs=21), Alpe Zanone (https://www.notion.so/Alpe-Zanone-dae10cacd54640e88ec9e528f3cdbc41?pvs=21);;;;Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21)
Starleggia;7;4;;98;4;10;58;87;76;105;10;6;0.604278074866,0.526315789474,0.566037735849;"Terziere
  di Mezzo";"quartiere
  di Starleggia";;"FD: 69
FS: 61
SFD: 52
PF: 5
NR: 2
NP: 2
,FD: 15
FS: 5
SFD: 15
PF: 3
NR: 3
NP: 0
,FD: 0
FS: 0
SFD: 0
PF: 0
NR: 0
NP: 0
,FD: 21
FS: 10
SFD: 20
PF: 2
NR: 1
NP: 5
,FD: 0
FS: 0
SFD: 0
PF: 0
NR: 0
NP: 0
,FD: 0
FS: 0
SFD: 0
PF: 0
NR: 0
NP: 0
,FD: 0
FS: 0
SFD: 0
PF: 0
NR: 0
NP: 0
,FD: 0
FS: 0
SFD: 0
PF: 0
NR: 0
NP: 0
,FD: 0
FS: 0
SFD: 0
PF: 0
NR: 0
NP: 0
,FD: 0
FS: 0
SFD: 0
PF: 0
NR: 0
NP: 0
,FD: 0
FS: 0
SFD: 0
PF: 0
NR: 0
NP: 0
,FD: 0
FS: 0
SFD: 0
PF: 0
NR: 0
NP: 0
,FD: 0
FS: 0
SFD: 0
PF: 0
NR: 0
NP: 0";11;0.953781512605;-13;24;256;340;302;65;271;258;174;33;0.533333333333;173;51;-11.6;-4.2;1.266666666667;1.55;0.65;4.2;0.018518518519;"UP: 0
UT: 60
DR: 5
D: 48
NR: 0
,UP: 0
UT: 17
DR: 3
D: 3
NR: 3
,UP: 0
UT: 0
DR: 0
D: 0
NR: 0
,UP: 0
UT: 21
DR: 2
D: 7
NR: 1
,UP: 0
UT: 0
DR: 0
D: 0
NR: 0
,UP: 0
UT: 0
DR: 0
D: 0
NR: 0
,UP: 0
UT: 0
DR: 0
D: 0
NR: 0
,UP: 0
UT: 0
DR: 0
D: 0
NR: 0
,UP: 0
UT: 0
DR: 0
D: 0
NR: 0
,UP: 0
UT: 0
DR: 0
D: 0
NR: 0
,UP: 0
UT: 0
DR: 0
D: 0
NR: 0
,UP: 0
UT: 0
DR: 0
D: 0
NR: 0
,UP: 0
UT: 0
DR: 0
D: 0
NR: 0";0.409638554217;0.34329870463;0.9879025598678571;Starleggia Ca di Lucc S Sisto Splughetta Alpe Toiana Alpe Zoccana Alpe Bocci Alpe Fornat Alpe Gusone Alpe Morone Alpe Ca Togni Alpe Cort Sora case sparse Starleggia_1981;Starleggia (https://www.notion.so/Starleggia-4bcaf289dbc64efea01a78f87a24755e?pvs=21), Ca di Lucc (https://www.notion.so/Ca-di-Lucc-a5f8f9a632e74d1d865ebdc5c5317937?pvs=21), S Sisto (https://www.notion.so/S-Sisto-67aa183c4fce46d0a47deb705e1af2e3?pvs=21), Splughetta (https://www.notion.so/Splughetta-ea499769ee4b47b89d7cc7089c741379?pvs=21), Alpe Toiana (https://www.notion.so/Alpe-Toiana-d7813d0e68644f72930c364c1819dabb?pvs=21), Alpe Zoccana (https://www.notion.so/Alpe-Zoccana-895b331cfe3f4b699fd6b0c35932498d?pvs=21), Alpe Bocci (https://www.notion.so/Alpe-Bocci-0b20ce1e70574573a9cc1c9f005f0265?pvs=21), Alpe Fornat (https://www.notion.so/Alpe-Fornat-3ac0edf52b2e4563948728dda8fd2bd4?pvs=21), Alpe Gusone (https://www.notion.so/Alpe-Gusone-5095d1a9854746aaba48e467db56343d?pvs=21), Alpe Morone (https://www.notion.so/Alpe-Morone-8258b79c5d634c1391dec51ab1db2ee5?pvs=21), Alpe Ca Togni (https://www.notion.so/Alpe-Ca-Togni-104bb5d0e6874f839c39d26d47e8b337?pvs=21), Alpe Cort Sora (https://www.notion.so/Alpe-Cort-Sora-1e6904a31e0e46ceafad4eda22535293?pvs=21), case sparse Starleggia_1981 (https://www.notion.so/case-sparse-Starleggia_1981-d5cc89733174412c8680f95731a0aa92?pvs=21);230;32;28;-232;227;11;"Res-UP-SFD: 0
Res-UP-FS: 0
Res-UP-FD: 0
Res-UT-SFD: 3
Res-UT-FS: 2
Res-UT-FD: 0
Res-D-FS: 1
Res-D-FD: 0
A Prod-UT-SFD: 1
A Prod-UT-FS: 1
A Prod-UT-FD: 0
A Prod-D-FS: 1
A Prod-D-FD: 1
A Prod-DR-PF: 0
Multi-UP-SFD: 0
Multi-UP-FS: 0
Multi-UP-FD: 0
Multi-UT-SFD: 2
Multi-UT-FS: 2
Multi-UT-FD: 0
Multi-D-FS: 2
Multi-D-FD: 1
NR-NR: 0
,Res-UP-SFD: 0
Res-UP-FS: 0
Res-UP-FD: 0
Res-UT-SFD: 2
Res-UT-FS: 1
Res-UT-FD: 0
Res-D-FS: 0
Res-D-FD: 0
A Prod-UT-SFD: 0
A Prod-UT-FS: 0
A Prod-UT-FD: 0
A Prod-D-FS: 0
A Prod-D-FD: 0
A Prod-DR-PF: 0
Multi-UP-SFD: 0
Multi-UP-FS: 0
Multi-UP-FD: 0
Multi-UT-SFD: 0
Multi-UT-FS: 0
Multi-UT-FD: 0
Multi-D-FS: 0
Multi-D-FD: 0
NR-NR: 1
,Res-UP-SFD: 0
Res-UP-FS: 0
Res-UP-FD: 0
Res-UT-SFD: 0
Res-UT-FS: 0
Res-UT-FD: 0
Res-D-FS: 0
Res-D-FD: 0
A Prod-UT-SFD: 0
A Prod-UT-FS: 0
A Prod-UT-FD: 0
A Prod-D-FS: 0
A Prod-D-FD: 0
A Prod-DR-PF: 0
Multi-UP-SFD: 0
Multi-UP-FS: 0
Multi-UP-FD: 0
Multi-UT-SFD: 0
Multi-UT-FS: 0
Multi-UT-FD: 0
Multi-D-FS: 0
Multi-D-FD: 0
NR-NR: 0
,Res-UP-SFD: 0
Res-UP-FS: 0
Res-UP-FD: 0
Res-UT-SFD: 2
Res-UT-FS: 2
Res-UT-FD: 0
Res-D-FS: 1
Res-D-FD: 0
A Prod-UT-SFD: 0
A Prod-UT-FS: 0
A Prod-UT-FD: 0
A Prod-D-FS: 0
A Prod-D-FD: 0
A Prod-DR-PF: 0
Multi-UP-SFD: 0
Multi-UP-FS: 0
Multi-UP-FD: 0
Multi-UT-SFD: 2
Multi-UT-FS: 0
Multi-UT-FD: 0
Multi-D-FS: 0
Multi-D-FD: 0
NR-NR: 1
,Res-UP-SFD: 0
Res-UP-FS: 0
Res-UP-FD: 0
Res-UT-SFD: 0
Res-UT-FS: 0
Res-UT-FD: 0
Res-D-FS: 0
Res-D-FD: 0
A Prod-UT-SFD: 0
A Prod-UT-FS: 0
A Prod-UT-FD: 0
A Prod-D-FS: 0
A Prod-D-FD: 0
A Prod-DR-PF: 0
Multi-UP-SFD: 0
Multi-UP-FS: 0
Multi-UP-FD: 0
Multi-UT-SFD: 0
Multi-UT-FS: 0
Multi-UT-FD: 0
Multi-D-FS: 0
Multi-D-FD: 0
NR-NR: 0
,Res-UP-SFD: 0
Res-UP-FS: 0
Res-UP-FD: 0
Res-UT-SFD: 0
Res-UT-FS: 0
Res-UT-FD: 0
Res-D-FS: 0
Res-D-FD: 0
A Prod-UT-SFD: 0
A Prod-UT-FS: 0
A Prod-UT-FD: 0
A Prod-D-FS: 0
A Prod-D-FD: 0
A Prod-DR-PF: 0
Multi-UP-SFD: 0
Multi-UP-FS: 0
Multi-UP-FD: 0
Multi-UT-SFD: 0
Multi-UT-FS: 0
Multi-UT-FD: 0
Multi-D-FS: 0
Multi-D-FD: 0
NR-NR: 0
,Res-UP-SFD: 0
Res-UP-FS: 0
Res-UP-FD: 0
Res-UT-SFD: 0
Res-UT-FS: 0
Res-UT-FD: 0
Res-D-FS: 0
Res-D-FD: 0
A Prod-UT-SFD: 0
A Prod-UT-FS: 0
A Prod-UT-FD: 0
A Prod-D-FS: 0
A Prod-D-FD: 0
A Prod-DR-PF: 0
Multi-UP-SFD: 0
Multi-UP-FS: 0
Multi-UP-FD: 0
Multi-UT-SFD: 0
Multi-UT-FS: 0
Multi-UT-FD: 0
Multi-D-FS: 0
Multi-D-FD: 0
NR-NR: 0
,Res-UP-SFD: 0
Res-UP-FS: 0
Res-UP-FD: 0
Res-UT-SFD: 0
Res-UT-FS: 0
Res-UT-FD: 0
Res-D-FS: 0
Res-D-FD: 0
A Prod-UT-SFD: 0
A Prod-UT-FS: 0
A Prod-UT-FD: 0
A Prod-D-FS: 0
A Prod-D-FD: 0
A Prod-DR-PF: 0
Multi-UP-SFD: 0
Multi-UP-FS: 0
Multi-UP-FD: 0
Multi-UT-SFD: 0
Multi-UT-FS: 0
Multi-UT-FD: 0
Multi-D-FS: 0
Multi-D-FD: 0
NR-NR: 0
,Res-UP-SFD: 0
Res-UP-FS: 0
Res-UP-FD: 0
Res-UT-SFD: 0
Res-UT-FS: 0
Res-UT-FD: 0
Res-D-FS: 0
Res-D-FD: 0
A Prod-UT-SFD: 0
A Prod-UT-FS: 0
A Prod-UT-FD: 0
A Prod-D-FS: 0
A Prod-D-FD: 0
A Prod-DR-PF: 0
Multi-UP-SFD: 0
Multi-UP-FS: 0
Multi-UP-FD: 0
Multi-UT-SFD: 0
Multi-UT-FS: 0
Multi-UT-FD: 0
Multi-D-FS: 0
Multi-D-FD: 0
NR-NR: 0
,Res-UP-SFD: 0
Res-UP-FS: 0
Res-UP-FD: 0
Res-UT-SFD: 0
Res-UT-FS: 0
Res-UT-FD: 0
Res-D-FS: 0
Res-D-FD: 0
A Prod-UT-SFD: 0
A Prod-UT-FS: 0
A Prod-UT-FD: 0
A Prod-D-FS: 0
A Prod-D-FD: 0
A Prod-DR-PF: 0
Multi-UP-SFD: 0
Multi-UP-FS: 0
Multi-UP-FD: 0
Multi-UT-SFD: 0
Multi-UT-FS: 0
Multi-UT-FD: 0
Multi-D-FS: 0
Multi-D-FD: 0
NR-NR: 0
,Res-UP-SFD: 0
Res-UP-FS: 0
Res-UP-FD: 0
Res-UT-SFD: 0
Res-UT-FS: 0
Res-UT-FD: 0
Res-D-FS: 0
Res-D-FD: 0
A Prod-UT-SFD: 0
A Prod-UT-FS: 0
A Prod-UT-FD: 0
A Prod-D-FS: 0
A Prod-D-FD: 0
A Prod-DR-PF: 0
Multi-UP-SFD: 0
Multi-UP-FS: 0
Multi-UP-FD: 0
Multi-UT-SFD: 0
Multi-UT-FS: 0
Multi-UT-FD: 0
Multi-D-FS: 0
Multi-D-FD: 0
NR-NR: 0
,Res-UP-SFD: 0
Res-UP-FS: 0
Res-UP-FD: 0
Res-UT-SFD: 0
Res-UT-FS: 0
Res-UT-FD: 0
Res-D-FS: 0
Res-D-FD: 0
A Prod-UT-SFD: 0
A Prod-UT-FS: 0
A Prod-UT-FD: 0
A Prod-D-FS: 0
A Prod-D-FD: 0
A Prod-DR-PF: 0
Multi-UP-SFD: 0
Multi-UP-FS: 0
Multi-UP-FD: 0
Multi-UT-SFD: 0
Multi-UT-FS: 0
Multi-UT-FD: 0
Multi-D-FS: 0
Multi-D-FD: 0
NR-NR: 0
,Res-UP-SFD: 0
Res-UP-FS: 0
Res-UP-FD: 0
Res-UT-SFD: 0
Res-UT-FS: 0
Res-UT-FD: 0
Res-D-FS: 0
Res-D-FD: 0
A Prod-UT-SFD: 0
A Prod-UT-FS: 0
A Prod-UT-FD: 0
A Prod-D-FS: 0
A Prod-D-FD: 0
A Prod-DR-PF: 0
Multi-UP-SFD: 0
Multi-UP-FS: 0
Multi-UP-FD: 0
Multi-UT-SFD: 0
Multi-UT-FS: 0
Multi-UT-FD: 0
Multi-D-FS: 0
Multi-D-FD: 0
NR-NR: 0";Starleggia (https://www.notion.so/Starleggia-9e5dda140c5b43b9ba0c04cec9c8128f?pvs=21), Ca de Luc (https://www.notion.so/Ca-de-Luc-d77c7e0506ad4d9387f86d75b383f4d2?pvs=21), Splughetta (https://www.notion.so/Splughetta-be661feb5f44434aab2fcd35bffdf192?pvs=21), S.Sisto (https://www.notion.so/S-Sisto-d5aa60f8576c4801aadb83bdc34b56d9?pvs=21), Case sparse_Alpe Bocci (https://www.notion.so/Case-sparse_Alpe-Bocci-92206f31e2584b9589f65f8e7ecd3dcc?pvs=21), Morone (https://www.notion.so/Morone-beb0c505a1634c1e885e0a5e565e0fa4?pvs=21), Case sparse_Alpe Cort Sora (https://www.notion.so/Case-sparse_Alpe-Cort-Sora-1f2a36a8965d4ba1a30ae27cd9bd0f78?pvs=21), Gusone (https://www.notion.so/Gusone-8473c912ff984da3afd7f6ce1e2bc7a3?pvs=21), Fornat (https://www.notion.so/Fornat-815e1600ff73461caf81efca92691341?pvs=21), Case sparse_Alpe Toiana (https://www.notion.so/Case-sparse_Alpe-Toiana-dec696c2648f4257a9b55021239d1fbf?pvs=21), Case sparse_Alpe Zoccana (https://www.notion.so/Case-sparse_Alpe-Zoccana-85f4036b02364e7b929a9babeffbc71e?pvs=21);Splughetta (https://www.notion.so/Splughetta-3730637f166a4693bb246c7104ec9792?pvs=21), Starleggia (https://www.notion.so/Starleggia-68f63ea5d76047468d39298aebd090cc?pvs=21), Ca di Lucc (https://www.notion.so/Ca-di-Lucc-acc40756b9e44ba9a29a849b349a6384?pvs=21), S Sisto (https://www.notion.so/S-Sisto-75f44148bb5c4f60a9dbc67ae701f86b?pvs=21), Alpe Morone (https://www.notion.so/Alpe-Morone-997e48ad65c04fecb9b774c9c3c15ca2?pvs=21), Alpe Gusone (https://www.notion.so/Alpe-Gusone-d2f4387e15664b6a8fa4d953bd4d0172?pvs=21), Alpe Fornat (https://www.notion.so/Alpe-Fornat-f204c849d15b4ff99d19217b7889ffd8?pvs=21);Splughetta (https://www.notion.so/Splughetta-1d60d62c53cc4e47a9e35a527b382750?pvs=21), San Sisto (https://www.notion.so/San-Sisto-9c097482a4e844b091ec7b737e77835e?pvs=21), Starleggia (https://www.notion.so/Starleggia-dcb1aa24aab440b5ae47106c67e620af?pvs=21), Alpe Toiana (https://www.notion.so/Alpe-Toiana-8a569da5c56e428292ec35775a0da838?pvs=21), Alpe Zoccana (https://www.notion.so/Alpe-Zoccana-bc78bb8e80404f2ca98facc243bc0d22?pvs=21), Alpe Gusone (https://www.notion.so/Alpe-Gusone-d913f889c0e3461ab566d08db1bfd3ae?pvs=21), Alpe Morone (https://www.notion.so/Alpe-Morone-e9af0ea0fc19467aa1058bcc332d626a?pvs=21);-84;1;84;13;38;31;;;Splughetta (https://www.notion.so/Splughetta-4a7941db6b4148e0b5e9a69ddcc821ca?pvs=21), Ca de Luc (https://www.notion.so/Ca-de-Luc-78e82c4358dc4875b74ae1f1a81ad748?pvs=21), Starleggia (https://www.notion.so/Starleggia-efd2bbd3194844a3b6761aa92b2cb80d?pvs=21);Starleggia (https://www.notion.so/Starleggia-0c98c3dc8e3f454faab4caeb62c6631c?pvs=21), Ca de Luc (https://www.notion.so/Ca-de-Luc-6387312d972b4fc38ed103f1f3b70671?pvs=21), Splughetta (https://www.notion.so/Splughetta-f87da7275a564796af68deb61a36c1df?pvs=21);Starleggia (https://www.notion.so/Starleggia-7c8c2c5168aa4dfba45c7b297903ffce?pvs=21);Starleggia (https://www.notion.so/Starleggia-d43a03a158cd4acfb927ae788fe8ed82?pvs=21);Starleggia (https://www.notion.so/Starleggia-532a0f59119e411fb6f2d2fbacd66556?pvs=21);Starleggia inferiore (https://www.notion.so/Starleggia-inferiore-8082674f2ad24cdc992f24ede94f7bda?pvs=21), Speluga (https://www.notion.so/Speluga-887f0c10c2574afd8b6c5921362d44c7?pvs=21), Starleggia superiore / S Sisto (https://www.notion.so/Starleggia-superiore-S-Sisto-83599c5a776348ae85dbb16c77089301?pvs=21);Alpe Gusone (https://www.notion.so/Alpe-Gusone-0c9b81f691274701a8af42e7a91df836?pvs=21), Alpe Toiana (https://www.notion.so/Alpe-Toiana-12dea0def0204bc0af4938498390eed3?pvs=21), S Sisto (https://www.notion.so/S-Sisto-3b7f506950c44f0b923d444bda45ef8d?pvs=21), Alpe Morone (https://www.notion.so/Alpe-Morone-3e481e3217fb435c916d784c071c371e?pvs=21), Splughetta (https://www.notion.so/Splughetta-3fec99285900428da4f2fe385b7b25ea?pvs=21), Alpe Zoccana (https://www.notion.so/Alpe-Zoccana-9b1c3fe20cd44d79936b1ed178fbcd0c?pvs=21), Starleggia (https://www.notion.so/Starleggia-cf93b49e9a4349c0aac6db71b09602cb?pvs=21);;;;Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21)
