anno cens,Sottosistemi territoriali,Com_Den,Località,Loc_Fr di rif_GEOGRAFICHE,Loc_Cod,Località 1951,Loc_pop res,Com_n fam,Com_abitazioni occupate,"Com_abitazioni non occupate ",% ab non occupate / tot,"% ab occupate / tot ",Com_pop attiva,Com_pop non attiva,Com_pop occ I settore,Com_pop occ II III settore,concat
1951 (https://www.notion.so/1951-11c7c49d99b180719cc8e826e906ba03?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Uschione (https://www.notion.so/Uschione-f95a0da0233e40f1a88dbd2434e119d1?pvs=21),Uschione,1,Uschione,94,,,,,,,,,,Uschione
1951 (https://www.notion.so/1951-11c7c49d99b180719cc8e826e906ba03?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Bette (https://www.notion.so/Bette-3b87810f66114f2996afc4049dd5a991?pvs=21),Chiavenna,1,Bette,572,,,,,,,,,,Bette
1951 (https://www.notion.so/1951-11c7c49d99b180719cc8e826e906ba03?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Pianazzola (https://www.notion.so/Pianazzola-85917f662d144548bab106a8a850fcfe?pvs=21),Chiavenna,1,Pianazzola,227,,,,,,,,,,Pianazzola
1951 (https://www.notion.so/1951-11c7c49d99b180719cc8e826e906ba03?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),S Carlo (https://www.notion.so/S-Carlo-a8fef79ca98748b4a521194463ce8495?pvs=21),Chiavenna,2,S Carlo II,76,,,,,,,,,,S Carlo Maina_np - 1861 - 1951
1951 (https://www.notion.so/1951-11c7c49d99b180719cc8e826e906ba03?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),S Carlo (https://www.notion.so/S-Carlo-a8fef79ca98748b4a521194463ce8495?pvs=21),Chiavenna,2,S Carlo I,43,,,,,,,,,,S Carlo Crotti_np - 1861 - 1951
1951 (https://www.notion.so/1951-11c7c49d99b180719cc8e826e906ba03?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Campedello (https://www.notion.so/Campedello-883567e172c54eee90dc73b411f3d19d?pvs=21),Chiavenna,2,Campedello,236,,,,,,,,,,Campedello
1951 (https://www.notion.so/1951-11c7c49d99b180719cc8e826e906ba03?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-91234617eccd474aae4338f5c71427b8?pvs=21),Chiavenna,1,Chiavenna,4598,,,,,,,,,,Chiavenna
1951 (https://www.notion.so/1951-11c7c49d99b180719cc8e826e906ba03?pvs=21),Gordona (https://www.notion.so/Gordona-11c7c49d99b180bebff2c2e5fbb5dd5e?pvs=21),Gordona (https://www.notion.so/Gordona-232ecdffea2843e88b7b8424258e707f?pvs=21),,Pizzo Cavregasco,4,,0,,,,,,,,,,
1951 (https://www.notion.so/1951-11c7c49d99b180719cc8e826e906ba03?pvs=21),Gordona (https://www.notion.so/Gordona-11c7c49d99b180bebff2c2e5fbb5dd5e?pvs=21),Gordona (https://www.notion.so/Gordona-232ecdffea2843e88b7b8424258e707f?pvs=21),,,,,,353,357,352,0.496473906911,0.503526093089,,,319,248,
1951 (https://www.notion.so/1951-11c7c49d99b180719cc8e826e906ba03?pvs=21),Gordona (https://www.notion.so/Gordona-11c7c49d99b180bebff2c2e5fbb5dd5e?pvs=21),Gordona (https://www.notion.so/Gordona-232ecdffea2843e88b7b8424258e707f?pvs=21),,Gordona,3,case sparse,18,,,,,,,,,,
1951 (https://www.notion.so/1951-11c7c49d99b180719cc8e826e906ba03?pvs=21),Gordona (https://www.notion.so/Gordona-11c7c49d99b180bebff2c2e5fbb5dd5e?pvs=21),Gordona (https://www.notion.so/Gordona-232ecdffea2843e88b7b8424258e707f?pvs=21),Coloredo (https://www.notion.so/Coloredo-8e6c92d1faf04f71961915a44a12a8d3?pvs=21),Coloredo,1,Coloredo,363,,,,,,,,,,
1951 (https://www.notion.so/1951-11c7c49d99b180719cc8e826e906ba03?pvs=21),Gordona (https://www.notion.so/Gordona-11c7c49d99b180bebff2c2e5fbb5dd5e?pvs=21),Gordona (https://www.notion.so/Gordona-232ecdffea2843e88b7b8424258e707f?pvs=21),Gordona (https://www.notion.so/Gordona-7eac82b76f2a46278918bbbdff80299b?pvs=21),Gordona,1,Gordona,1163,,,,,,,,,,
1951 (https://www.notion.so/1951-19c6722e2f3942aeb7ff8faebc3ef5a4?pvs=21),,Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),,Pizzo Tambo,4,,0,,,,,,,,,,
