anno cens,Com_Den,Sottosistemi territoriali,Località - centri 1901,Fr_pop res,Com_n fam
1901 (https://www.notion.so/1901-11c7c49d99b1807d9766c7745a2b1500?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),,,1133
1901 (https://www.notion.so/1901-11c7c49d99b1807d9766c7745a2b1500?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),Bette e Raschi,,
1901 (https://www.notion.so/1901-11c7c49d99b1807d9766c7745a2b1500?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),"Loreto, Orello e S Giovanni",,
1901 (https://www.notion.so/1901-11c7c49d99b1807d9766c7745a2b1500?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),Uschione,290,
1901 (https://www.notion.so/1901-11c7c49d99b1807d9766c7745a2b1500?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),Reguscio e Tanno,80,
1901 (https://www.notion.so/1901-11c7c49d99b1807d9766c7745a2b1500?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),Bette e Raschi,328,
1901 (https://www.notion.so/1901-11c7c49d99b1807d9766c7745a2b1500?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),Pianazzola,297,
1901 (https://www.notion.so/1901-11c7c49d99b1807d9766c7745a2b1500?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),"Loreto, Orello e S Giovanni",294,
1901 (https://www.notion.so/1901-11c7c49d99b1807d9766c7745a2b1500?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),S Carlo,103,
1901 (https://www.notion.so/1901-11c7c49d99b1807d9766c7745a2b1500?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),Campedello,200,
1901 (https://www.notion.so/1901-11c7c49d99b1807d9766c7745a2b1500?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),Chiavenna,3140,
1901 (https://www.notion.so/1901-11c7c49d99b1807d9766c7745a2b1500?pvs=21),Gordona (https://www.notion.so/Gordona-232ecdffea2843e88b7b8424258e707f?pvs=21),Gordona (https://www.notion.so/Gordona-11c7c49d99b180bebff2c2e5fbb5dd5e?pvs=21),,,338
1901 (https://www.notion.so/1901-11c7c49d99b1807d9766c7745a2b1500?pvs=21),Gordona (https://www.notion.so/Gordona-232ecdffea2843e88b7b8424258e707f?pvs=21),Gordona (https://www.notion.so/Gordona-11c7c49d99b180bebff2c2e5fbb5dd5e?pvs=21),Coloredo,277,
1901 (https://www.notion.so/1901-11c7c49d99b1807d9766c7745a2b1500?pvs=21),Gordona (https://www.notion.so/Gordona-232ecdffea2843e88b7b8424258e707f?pvs=21),Gordona (https://www.notion.so/Gordona-11c7c49d99b180bebff2c2e5fbb5dd5e?pvs=21),Cimavilla,110,
1901 (https://www.notion.so/1901-11c7c49d99b1807d9766c7745a2b1500?pvs=21),Gordona (https://www.notion.so/Gordona-232ecdffea2843e88b7b8424258e707f?pvs=21),Gordona (https://www.notion.so/Gordona-11c7c49d99b180bebff2c2e5fbb5dd5e?pvs=21),Gasparoni,214,
1901 (https://www.notion.so/1901-11c7c49d99b1807d9766c7745a2b1500?pvs=21),Gordona (https://www.notion.so/Gordona-232ecdffea2843e88b7b8424258e707f?pvs=21),Gordona (https://www.notion.so/Gordona-11c7c49d99b180bebff2c2e5fbb5dd5e?pvs=21),Ponte,197,
1901 (https://www.notion.so/1901-11c7c49d99b1807d9766c7745a2b1500?pvs=21),Gordona (https://www.notion.so/Gordona-232ecdffea2843e88b7b8424258e707f?pvs=21),Gordona (https://www.notion.so/Gordona-11c7c49d99b180bebff2c2e5fbb5dd5e?pvs=21),Pendoglia,386,
1901 (https://www.notion.so/1901-11c7c49d99b1807d9766c7745a2b1500?pvs=21),Gordona (https://www.notion.so/Gordona-232ecdffea2843e88b7b8424258e707f?pvs=21),Gordona (https://www.notion.so/Gordona-11c7c49d99b180bebff2c2e5fbb5dd5e?pvs=21),Piazzoli,340,
1901 (https://www.notion.so/1901-6115f00245c542f69b40d93208d3e344?pvs=21),Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),,,,137
1901 (https://www.notion.so/1901-6115f00245c542f69b40d93208d3e344?pvs=21),Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Pianazzo (https://www.notion.so/Pianazzo-9f9b9d1526c9467c9ae038e81542f120?pvs=21),Pianazzo,176,
1901 (https://www.notion.so/1901-6115f00245c542f69b40d93208d3e344?pvs=21),Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Madesimo (https://www.notion.so/Madesimo-148216101dc048a7a38cad70d4a4a2a4?pvs=21),Madesimo,109,
1901 (https://www.notion.so/1901-6115f00245c542f69b40d93208d3e344?pvs=21),Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Isola (https://www.notion.so/Isola-e75fd7d7fa144606849e2486d9a741fe?pvs=21),Isola,120,
1901 (https://www.notion.so/1901-6115f00245c542f69b40d93208d3e344?pvs=21),Menarola (https://www.notion.so/Menarola-94123965fee94a9bad19784a7697d724?pvs=21),Menarola (https://www.notion.so/Menarola-11c7c49d99b1805fa8a7f396c7e79f7b?pvs=21),,,85
1901 (https://www.notion.so/1901-6115f00245c542f69b40d93208d3e344?pvs=21),Menarola (https://www.notion.so/Menarola-94123965fee94a9bad19784a7697d724?pvs=21),Menarola (https://www.notion.so/Menarola-11c7c49d99b1805fa8a7f396c7e79f7b?pvs=21),Ronchi,145,
1901 (https://www.notion.so/1901-6115f00245c542f69b40d93208d3e344?pvs=21),Menarola (https://www.notion.so/Menarola-94123965fee94a9bad19784a7697d724?pvs=21),Menarola (https://www.notion.so/Menarola-11c7c49d99b1805fa8a7f396c7e79f7b?pvs=21),Valla,14,
1901 (https://www.notion.so/1901-6115f00245c542f69b40d93208d3e344?pvs=21),Menarola (https://www.notion.so/Menarola-94123965fee94a9bad19784a7697d724?pvs=21),Menarola (https://www.notion.so/Menarola-11c7c49d99b1805fa8a7f396c7e79f7b?pvs=21),Gradesella,50,
1901 (https://www.notion.so/1901-6115f00245c542f69b40d93208d3e344?pvs=21),Menarola (https://www.notion.so/Menarola-94123965fee94a9bad19784a7697d724?pvs=21),Menarola (https://www.notion.so/Menarola-11c7c49d99b1805fa8a7f396c7e79f7b?pvs=21),Castenedi,76,
1901 (https://www.notion.so/1901-6115f00245c542f69b40d93208d3e344?pvs=21),Menarola (https://www.notion.so/Menarola-94123965fee94a9bad19784a7697d724?pvs=21),Menarola (https://www.notion.so/Menarola-11c7c49d99b1805fa8a7f396c7e79f7b?pvs=21),Foppo,33,
1901 (https://www.notion.so/1901-6115f00245c542f69b40d93208d3e344?pvs=21),Menarola (https://www.notion.so/Menarola-94123965fee94a9bad19784a7697d724?pvs=21),Menarola (https://www.notion.so/Menarola-11c7c49d99b1805fa8a7f396c7e79f7b?pvs=21),Voga,36,
1901 (https://www.notion.so/1901-6115f00245c542f69b40d93208d3e344?pvs=21),Mese (https://www.notion.so/Mese-cc7fcc078e394bc895bd367f637beb3d?pvs=21),,,,
1901 (https://www.notion.so/1901-6115f00245c542f69b40d93208d3e344?pvs=21),Mese (https://www.notion.so/Mese-cc7fcc078e394bc895bd367f637beb3d?pvs=21),Mese (https://www.notion.so/Mese-11c7c49d99b180cd9ed8fcce3a12175a?pvs=21),,,131
1901 (https://www.notion.so/1901-6115f00245c542f69b40d93208d3e344?pvs=21),Mese (https://www.notion.so/Mese-cc7fcc078e394bc895bd367f637beb3d?pvs=21),Mese (https://www.notion.so/Mese-11c7c49d99b180cd9ed8fcce3a12175a?pvs=21),Castrona,49,
1901 (https://www.notion.so/1901-6115f00245c542f69b40d93208d3e344?pvs=21),Mese (https://www.notion.so/Mese-cc7fcc078e394bc895bd367f637beb3d?pvs=21),Mese (https://www.notion.so/Mese-11c7c49d99b180cd9ed8fcce3a12175a?pvs=21),Madonna delle Grazie,62,
1901 (https://www.notion.so/1901-6115f00245c542f69b40d93208d3e344?pvs=21),Mese (https://www.notion.so/Mese-cc7fcc078e394bc895bd367f637beb3d?pvs=21),Mese (https://www.notion.so/Mese-11c7c49d99b180cd9ed8fcce3a12175a?pvs=21),Scandolera,125,
