anno cens,Com_Den,"Sottosistemi territoriali ",Località - centri,Fr_pop res
1881 (https://www.notion.so/1881-39df4eb50abf4c089873c785a371a25d?pvs=21),Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Madesimo (https://www.notion.so/Madesimo-148216101dc048a7a38cad70d4a4a2a4?pvs=21),Madesimo,195
1881 (https://www.notion.so/1881-39df4eb50abf4c089873c785a371a25d?pvs=21),Menarola (https://www.notion.so/Menarola-94123965fee94a9bad19784a7697d724?pvs=21),Menarola (https://www.notion.so/Menarola-11c7c49d99b1805fa8a7f396c7e79f7b?pvs=21),Gradesella,182
1881 (https://www.notion.so/1881-39df4eb50abf4c089873c785a371a25d?pvs=21),Menarola (https://www.notion.so/Menarola-94123965fee94a9bad19784a7697d724?pvs=21),Menarola (https://www.notion.so/Menarola-11c7c49d99b1805fa8a7f396c7e79f7b?pvs=21),Castenedi,123
1881 (https://www.notion.so/1881-39df4eb50abf4c089873c785a371a25d?pvs=21),Menarola (https://www.notion.so/Menarola-94123965fee94a9bad19784a7697d724?pvs=21),Menarola (https://www.notion.so/Menarola-11c7c49d99b1805fa8a7f396c7e79f7b?pvs=21),Foppo,61
1881 (https://www.notion.so/1881-39df4eb50abf4c089873c785a371a25d?pvs=21),Menarola (https://www.notion.so/Menarola-94123965fee94a9bad19784a7697d724?pvs=21),Menarola (https://www.notion.so/Menarola-11c7c49d99b1805fa8a7f396c7e79f7b?pvs=21),Voga,50
1881 (https://www.notion.so/1881-39df4eb50abf4c089873c785a371a25d?pvs=21),Mese (https://www.notion.so/Mese-cc7fcc078e394bc895bd367f637beb3d?pvs=21),Mese (https://www.notion.so/Mese-11c7c49d99b180cd9ed8fcce3a12175a?pvs=21),S Mamete,265
1881 (https://www.notion.so/1881-39df4eb50abf4c089873c785a371a25d?pvs=21),Mese (https://www.notion.so/Mese-cc7fcc078e394bc895bd367f637beb3d?pvs=21),Mese (https://www.notion.so/Mese-11c7c49d99b180cd9ed8fcce3a12175a?pvs=21),Castrona,65
1881 (https://www.notion.so/1881-39df4eb50abf4c089873c785a371a25d?pvs=21),Mese (https://www.notion.so/Mese-cc7fcc078e394bc895bd367f637beb3d?pvs=21),Mese (https://www.notion.so/Mese-11c7c49d99b180cd9ed8fcce3a12175a?pvs=21),Madonna delle Grazie,51
1881 (https://www.notion.so/1881-39df4eb50abf4c089873c785a371a25d?pvs=21),Mese (https://www.notion.so/Mese-cc7fcc078e394bc895bd367f637beb3d?pvs=21),Mese (https://www.notion.so/Mese-11c7c49d99b180cd9ed8fcce3a12175a?pvs=21),Scandolera,7
1881 (https://www.notion.so/1881-39df4eb50abf4c089873c785a371a25d?pvs=21),Mese (https://www.notion.so/Mese-cc7fcc078e394bc895bd367f637beb3d?pvs=21),Mese (https://www.notion.so/Mese-11c7c49d99b180cd9ed8fcce3a12175a?pvs=21),S Vittore,131
