cat 2022,Località,comune senza link,località senza link,Immagini_fotografie sopralluogo,cat 1853,dest uso 1853,sezione località,dest uso 1853 - extra,cat 1807,stato_conservazione_globale,destinazione_uso_attuale,stato_utilizzo_attuale,stato_conservazione_globale (doppie),cat 1951,dest uso 1950,vincoli e tutele,TARI 2021 - da tenere,IMU 2021 - da tenere,note - da tenere,caratteri_storico_culturali,apparati decorativi,apparati decorativi - stato di conservazione,infissi esterni - tipologia,infissi esterni - materiale,infissi esterni - stato di conservazione,collegamenti esterni - tipologia,collegamenti esterni - materiale,collegamenti esterni - stato di conservazione,accessibilità,smaltimento_acqua,smaltimento_acqua - stato di conservazione,finiture esterne - tipologia,finiture esterne - dettaglio materiale intonaco,finiture esterne - conservazione,componenti strutturali verticali - materiale,componenti verticali - tecnica costruttiva,componenti verticali - conservazione,componenti - coperture - materiale,componenti - coperture - tecnica costruttiva,componenti - coperture - conservazione,componenti strutturali orizzontali - tecnica costruttiva,componenti strutturali orizzontali - materiale,componenti strutturali orizzontali - conservazione,componenti - fondazioni,presenza_opere_provvisionali,degrado - finiture esterne,degrado - componenti vert,degrado - coperture,unità 1 - piani,unità 2 - piani,unità 3 - piani,pavimentazioni_esterne,impiantistica,Comune,loc senza link
54_409,Tecciali / Tecciato (https://www.notion.so/Tecciali-Tecciato-349365ef48ef4f228562a9c08d3e9997?pvs=21),San Giacomo Filippo,Tecciali / Tecciato,"Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9103.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9117.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9113.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9115.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9091.jpg",606,CC,,,presente,senza fenomeni di degrado,residenziale,uso temporaneo,senza fenomeni di degrado,409,FA RURALE,"I2, LOCALE",Uso domestico_seconde case,,,,,,,,,,,,sentiero,,,non presente,,,"legno, pietra a secco, pietra con legante",muri portanti,senza fenomeni di degrado,"legno, pietra",tecnica moderna,senza fenomeni di degrado,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Tecciali / Tecciato
54_391,Tecciali / Tecciato (https://www.notion.so/Tecciali-Tecciato-349365ef48ef4f228562a9c08d3e9997?pvs=21),San Giacomo Filippo,Tecciali / Tecciato,"Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9084.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9078.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9076.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9073.jpg",602,P SF,,,presente,senza fenomeni di degrado,residenziale,uso temporaneo,senza fenomeni di degrado,391,FA RURALE,"I2, LOCALE",Uso domestico_seconde case,,,,,,,,,,,,sentiero,,,intonaco_fine,,senza fenomeni di degrado,"legno, pietra con legante",muri portanti,senza fenomeni di degrado,"legno, pietra",tecnica moderna,senza fenomeni di degrado,,,,,,,,,"2, seminterrato",,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Tecciali / Tecciato
54_392,Tecciali / Tecciato (https://www.notion.so/Tecciali-Tecciato-349365ef48ef4f228562a9c08d3e9997?pvs=21),San Giacomo Filippo,Tecciali / Tecciato,"Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9082.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9083.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9080.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9079.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9072.jpg",601,CC,,,presente,senza fenomeni di degrado,residenziale,uso temporaneo,senza fenomeni di degrado,392,FA RURALE,"I2, LOCALE",Uso domestico_seconde case,,,,,,,,,,,,sentiero,,,intonaco_tintura,,senza fenomeni di degrado,pietra con legante,muri portanti,senza fenomeni di degrado,"legno, pietra",tecnica moderna,senza fenomeni di degrado,,,,,,,,,"2, seminterrato",,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Tecciali / Tecciato
54_401,Tecciali / Tecciato (https://www.notion.so/Tecciali-Tecciato-349365ef48ef4f228562a9c08d3e9997?pvs=21),San Giacomo Filippo,Tecciali / Tecciato,"Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9101.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9094.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9093.jpg",607,SF,,,presente,senza fenomeni di degrado,residenziale,uso temporaneo,senza fenomeni di degrado,401,FA RURALE,"I2, LOCALE",Uso domestico_seconde case,,,,,,,,,,,,sentiero,,,intonaco_tintura,,senza fenomeni di degrado,pietra con legante,muri portanti,senza fenomeni di degrado,"legno, pietra",tecnica tradizionale,senza fenomeni di degrado,,,,,,,,,"1, seminterrato",,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Tecciali / Tecciato
54_406,Tecciali / Tecciato (https://www.notion.so/Tecciali-Tecciato-349365ef48ef4f228562a9c08d3e9997?pvs=21),San Giacomo Filippo,Tecciali / Tecciato,"Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9099.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9100.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9092.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9090.jpg",606,CC,,,parziale,senza fenomeni di degrado,residenziale,uso temporaneo,senza fenomeni di degrado,406,FA RURALE,"I2, LOCALE",Uso domestico_seconde case,,,,,,,,,,,,,,,intonaco_tintura,,senza fenomeni di degrado,pietra con legante,muri portanti,senza fenomeni di degrado,"legno, materiale metallico",tecnica moderna,fenomeni di degrado diffusi,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Tecciali / Tecciato
54_405,Tecciali / Tecciato (https://www.notion.so/Tecciali-Tecciato-349365ef48ef4f228562a9c08d3e9997?pvs=21),San Giacomo Filippo,Tecciali / Tecciato,"Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9099%201.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9090%201.jpg",,,,,non presente,senza fenomeni di degrado,servizio,uso temporaneo,senza fenomeni di degrado,405,PRATO,"I2, LOCALE",,C02,,,,,,,,,,,sentiero,,,non presente,,,,,,"legno, pietra",tecnica moderna,senza fenomeni di degrado,,,,,,,,,"1, seminterrato",,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Tecciali / Tecciato
54_673,Tecciali / Tecciato (https://www.notion.so/Tecciali-Tecciato-349365ef48ef4f228562a9c08d3e9997?pvs=21),San Giacomo Filippo,Tecciali / Tecciato,,,,,,non presente,non rilevabile,servizio,non rilevabile,non rilevabile,0,,,,C02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Tecciali / Tecciato
51_10,Sommarovina (https://www.notion.so/Sommarovina-6f63c62da0df4b6ca5420c6f13699859?pvs=21),San Giacomo Filippo,Sommarovina,,1538,CASTAGNETO,Sommarovina Bassa,,presente,non rilevabile,non rilevabile,disuso,non rilevabile,10,FA RURALE,"I2, LOCALE",,,Somma Bassa- no foto - vicino a fiume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Sommarovina
51_122,Sommarovina (https://www.notion.so/Sommarovina-6f63c62da0df4b6ca5420c6f13699859?pvs=21),San Giacomo Filippo,Sommarovina,,3722,SF,Sommarovina Bassa,,presente,non rilevabile,non rilevabile,disuso,non rilevabile,122,FA RURALE,,,,Somma Bassa - no foto - da vedere -sotto nucleo principale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Sommarovina
51_124,Sommarovina (https://www.notion.so/Sommarovina-6f63c62da0df4b6ca5420c6f13699859?pvs=21),San Giacomo Filippo,Sommarovina,,3723,SF,Sommarovina Bassa,,presente,non rilevabile,non rilevabile,disuso,non rilevabile,124,FA RURALE,,,,Somma Bassa - no foto - da vedere -sotto nucleo principale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Sommarovina
