cat 2022,Località,comune senza link,località senza link,Immagini_fotografie sopralluogo,cat 1853,dest uso 1853,sezione località,dest uso 1853 - extra,cat 1807,stato_conservazione_globale,destinazione_uso_attuale,stato_utilizzo_attuale,stato_conservazione_globale (doppie),cat 1951,dest uso 1950,vincoli e tutele,TARI 2021 - da tenere,IMU 2021 - da tenere,note - da tenere,caratteri_storico_culturali,apparati decorativi,apparati decorativi - stato di conservazione,infissi esterni - tipologia,infissi esterni - materiale,infissi esterni - stato di conservazione,collegamenti esterni - tipologia,collegamenti esterni - materiale,collegamenti esterni - stato di conservazione,accessibilità,smaltimento_acqua,smaltimento_acqua - stato di conservazione,finiture esterne - tipologia,finiture esterne - dettaglio materiale intonaco,finiture esterne - conservazione,componenti strutturali verticali - materiale,componenti verticali - tecnica costruttiva,componenti verticali - conservazione,componenti - coperture - materiale,componenti - coperture - tecnica costruttiva,componenti - coperture - conservazione,componenti strutturali orizzontali - tecnica costruttiva,componenti strutturali orizzontali - materiale,componenti strutturali orizzontali - conservazione,componenti - fondazioni,presenza_opere_provvisionali,degrado - finiture esterne,degrado - componenti vert,degrado - coperture,unità 1 - piani,unità 2 - piani,unità 3 - piani,pavimentazioni_esterne,impiantistica,Comune,loc senza link 
51_541_a,Sommarovina (https://www.notion.so/Sommarovina-6f63c62da0df4b6ca5420c6f13699859?pvs=21),San Giacomo Filippo,Sommarovina,"Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9665.heic, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9664.heic, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9654.heic, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9652.heic, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9650.heic",1304,SF,Prezot / Pra Sotto,,presente,fenomeni di degrado diffusi,produttivo rurale,disuso,fenomeni di degrado diffusi,541,,"I2, LOCALE",,,,tabìa (stalla / fienile con pilastri / tamponatura in legno),,,,,,,,,sentiero,,,non presente,,,"legno, pietra a secco, pietra con legante",muri portanti,fenomeni di degrado diffusi,,,,,,,,,,,,2,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Sommarovina
51_573,Sommarovina (https://www.notion.so/Sommarovina-6f63c62da0df4b6ca5420c6f13699859?pvs=21),San Giacomo Filippo,Sommarovina,,,,Prezot / Pra Sotto,,,non rilevabile,non rilevabile,non rilevabile,non rilevabile,573,FA RURALE,"I2, LOCALE",,C02,no foto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Sommarovina
51_574,Sommarovina (https://www.notion.so/Sommarovina-6f63c62da0df4b6ca5420c6f13699859?pvs=21),San Giacomo Filippo,Sommarovina,"Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9645%202.heic, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9644%201.heic, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9642.heic, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9643.heic, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9641.heic",,,Prezot / Pra Sotto,,,fenomeni di degrado superficiali,residenziale,uso temporaneo,fenomeni di degrado superficiali,574,FA RURALE,"I2, LOCALE",Uso domestico_seconde case,,,,,,,,,,,,sentiero,,,intonaco_rustico,,fenomeni di degrado superficiali,pietra con legante,muri portanti,fenomeni di degrado superficiali,,,,,,,,,,,,2,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Sommarovina
51_594,Sommarovina (https://www.notion.so/Sommarovina-6f63c62da0df4b6ca5420c6f13699859?pvs=21),San Giacomo Filippo,Sommarovina,"Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9678.heic, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9676.heic",1293,CC,Prezot / Pra Sotto,,parziale,senza fenomeni di degrado,residenziale,uso temporaneo,senza fenomeni di degrado,529,FA RURALE,"I3, LOCALE",,A03,,,,,,,,,,,sentiero,,,rivestimento in legno,,senza fenomeni di degrado,pietra con legante,muri portanti,senza fenomeni di degrado,,,,,,,,,,,,"2, seminterrato",,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Sommarovina
54_262,Sommarovina (https://www.notion.so/Sommarovina-6f63c62da0df4b6ca5420c6f13699859?pvs=21),San Giacomo Filippo,Sommarovina,"Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9667.heic, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9661.heic, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9657.heic, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9663.heic",3247,SF,Prezot / Pra Sotto,,,fenomeni di degrado superficiali,produttivo rurale,disuso,fenomeni di degrado superficiali,262,FA RURALE,"I2, LOCALE",,C02,,tabìa (stalla / fienile con pilastri / tamponatura in legno),,,,,,,,,sentiero,,,non presente,,,"legno, pietra a secco, pietra con legante",muri portanti,fenomeni di degrado superficiali,,,,,,,,,,,,2,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Sommarovina
54_263,Sommarovina (https://www.notion.so/Sommarovina-6f63c62da0df4b6ca5420c6f13699859?pvs=21),San Giacomo Filippo,Sommarovina,"Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9653.heic, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9651.heic",3248,SF,Prezot / Pra Sotto,,presente,perdita funzionalità,produttivo rurale,disuso - rudere,perdita funzionalità,263,PFA RURALE,"I5, LOCALE",,,,tabìa (stalla / fienile con pilastri / tamponatura in legno),,,,,,,,,sentiero,,,non presente,,,"legno, pietra a secco, pietra con legante",muri portanti,fenomeni di degrado diffusi,,,,,,,,,,,,"1, seminterrato",,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Sommarovina
54_707,Sommarovina (https://www.notion.so/Sommarovina-6f63c62da0df4b6ca5420c6f13699859?pvs=21),San Giacomo Filippo,Sommarovina,"Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9659.heic, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9656.heic, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9653%201.heic, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9651%201.heic",1258,P SF,Prezot / Pra Sotto,,,perdita funzionalità,produttivo rurale,disuso - rudere,perdita funzionalità,264,FA RURALE,"I5, LOCALE",,F02 -unità collabenti,,tabìa (stalla / fienile con pilastri / tamponatura in legno),,,,,,,,,sentiero,,,non presente,,,"legno, pietra a secco, pietra con legante",muri portanti,fenomeni di degrado diffusi,,,,,,,,,,,,"1, seminterrato",,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Sommarovina
51_487,Sommarovina (https://www.notion.so/Sommarovina-6f63c62da0df4b6ca5420c6f13699859?pvs=21),San Giacomo Filippo,Sommarovina,,27,P SF,,,presente,perdita funzionalità,produttivo rurale,disuso - rudere,perdita funzionalità,487,,"I5, LOCALE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Sommarovina
51_490,Sommarovina (https://www.notion.so/Sommarovina-6f63c62da0df4b6ca5420c6f13699859?pvs=21),San Giacomo Filippo,Sommarovina,Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9784.jpg,,,,,non presente,fenomeni di degrado superficiali,produttivo rurale,disuso,fenomeni di degrado superficiali,490,PFA RURALE,"I2, LOCALE",,,,tabìa (stalla / fienile con pilastri / tamponatura in legno),,,,,,,,,,,,,,,"legno, pietra a secco",muri portanti,fenomeni di degrado superficiali,"legno, pietra",tecnica tradizionale,fenomeni di degrado diffusi,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Sommarovina
51_495,Sommarovina (https://www.notion.so/Sommarovina-6f63c62da0df4b6ca5420c6f13699859?pvs=21),San Giacomo Filippo,Sommarovina,"Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9782.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9783.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9770.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9772.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9773.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9776.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9777.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9779.jpg",544,P CC,,,parziale,fenomeni di degrado superficiali,multifunzione,disuso,fenomeni di degrado superficiali,495,FA RURALE,"I2, LOCALE",Uso domestico_seconde case,,,,iscrizioni storiche,,,,,,,,sentiero,,,intonaco_tintura,,fenomeni di degrado superficiali,pietra con legante,muri portanti,fenomeni di degrado superficiali,"legno, pietra",tecnica tradizionale,senza fenomeni di degrado,a telaio,legno,non rilevabile,,,,,,"3, seminterrato",,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Sommarovina
51_496,Sommarovina (https://www.notion.so/Sommarovina-6f63c62da0df4b6ca5420c6f13699859?pvs=21),San Giacomo Filippo,Sommarovina,"Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9778.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9762.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9760.jpg",545,P CC,Motto,,presente,fenomeni di degrado superficiali,residenziale,uso temporaneo,fenomeni di degrado superficiali,496,FA RURALE,"I2, LOCALE",Uso domestico_seconde case,,,,architravi lignei,,,,,ballatoio,legno,fenomeni di degrado superficiali,sentiero,,,intonaco_rustico,,fenomeni di degrado superficiali,pietra con legante,muri portanti,fenomeni di degrado superficiali,"legno, pietra",tecnica tradizionale,fenomeni di degrado superficiali,,,,,,,,,"2, seminterrato",,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Sommarovina
51_497,Sommarovina (https://www.notion.so/Sommarovina-6f63c62da0df4b6ca5420c6f13699859?pvs=21),San Giacomo Filippo,Sommarovina,"Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9758.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9757.jpg",3203,P SF,Motto,,parziale,fenomeni di degrado superficiali,multifunzione,uso temporaneo,fenomeni di degrado superficiali,497,FA RURALE,"I2, LOCALE",Uso domestico_seconde case,,,,"architravi lignei, finestre a sguincio",,,,,,,,sentiero,,,intonaco_tintura,,fenomeni di degrado diffusi,pietra con legante,muri portanti,fenomeni di degrado superficiali,"legno, pietra",tecnica tradizionale,fenomeni di degrado superficiali,,,,,,,,,"2, seminterrato, sottotetto",,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Sommarovina
51_498_2,Sommarovina (https://www.notion.so/Sommarovina-6f63c62da0df4b6ca5420c6f13699859?pvs=21),San Giacomo Filippo,Sommarovina,"Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9765.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9766.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9767.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9768.jpg",3202,CC,Motto,,presente,fenomeni di degrado superficiali,produttivo rurale,disuso,fenomeni di degrado superficiali,498,FA RURALE,"I2, LOCALE",,C02,in vendesi - splittato qui,tabìa (stalla / fienile con pilastri / tamponatura in legno),"architravi lignei, finestre a sguincio",fenomeni di degrado diffusi,,,,,,,sentiero,,,,,,"legno, pietra a secco",muri portanti,fenomeni di degrado superficiali,"legno, pietra",tecnica tradizionale,fenomeni di degrado superficiali,,,,,,,,,"1, seminterrato",,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Sommarovina
51_498,Sommarovina (https://www.notion.so/Sommarovina-6f63c62da0df4b6ca5420c6f13699859?pvs=21),San Giacomo Filippo,Sommarovina,"Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9769.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9754.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9756.jpg",3201,P SF,Motto,,presente,fenomeni di degrado superficiali,residenziale,disuso,fenomeni di degrado superficiali,,,,,A04,in vendesi - splittato qui,,"architravi lignei, cornici lapidee o tinte",,,,,,,,sentiero,,,"intonaco_rustico, rivestimento in legno",,fenomeni di degrado superficiali,"pietra a secco, pietra con legante",incardinato + basamento e/o parziale rivestimento in pietra,fenomeni di degrado superficiali,"legno, pietra",tecnica tradizionale,fenomeni di degrado superficiali,,,,,,,,,"2, seminterrato",,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Sommarovina
51_503,Sommarovina (https://www.notion.so/Sommarovina-6f63c62da0df4b6ca5420c6f13699859?pvs=21),San Giacomo Filippo,Sommarovina,"Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9764.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9751.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9753.jpg",,,Motto,,non presente,fenomeni di degrado superficiali,multifunzione,uso temporaneo,fenomeni di degrado superficiali,503,FA RURALE,"I2, LOCALE",Uso domestico_seconde case,A04,3 unità,,cornici lapidee o tinte,,,,,,,,sentiero,,,non presente,,,"pietra a secco, pietra con legante",muri portanti,fenomeni di degrado superficiali,"laterizi, legno, pietra",tecnica moderna,fenomeni di degrado superficiali,,,,,,,,,"1, ovest","1, est, seminterrato",,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Sommarovina
51_504,Sommarovina (https://www.notion.so/Sommarovina-6f63c62da0df4b6ca5420c6f13699859?pvs=21),San Giacomo Filippo,Sommarovina,,,,Motto,,non presente,fenomeni di degrado superficiali,multifunzione,uso temporaneo,fenomeni di degrado superficiali,504,FA RURALE,"I2, LOCALE",,C02,,,,,,,,,,,,,,non presente,,,pietra a secco,muri portanti,fenomeni di degrado superficiali,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Sommarovina
51_505,Sommarovina (https://www.notion.so/Sommarovina-6f63c62da0df4b6ca5420c6f13699859?pvs=21),San Giacomo Filippo,Sommarovina,,,,Motto,,non presente,fenomeni di degrado superficiali,multifunzione,uso temporaneo,fenomeni di degrado superficiali,505,FA RURALE,"I2, LOCALE",Uso domestico_seconde case,,,,,,,,,,,,,,,intonaco_fine,,fenomeni di degrado superficiali,pietra con legante,muri portanti,fenomeni di degrado superficiali,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Sommarovina
51_507,Sommarovina (https://www.notion.so/Sommarovina-6f63c62da0df4b6ca5420c6f13699859?pvs=21),San Giacomo Filippo,Sommarovina,Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_20230607_184308.jpg,,,Motto,,non presente,fenomeni di degrado superficiali,produttivo rurale,disuso,fenomeni di degrado superficiali,507,FA RURALE,"I2, LOCALE",,C02,,tabìa (stalla / fienile con pilastri / tamponatura in legno),,,,,,,,,,,,non presente,,,"legno, pietra a secco",muri portanti,fenomeni di degrado superficiali,"legno, pietra",tecnica tradizionale,fenomeni di degrado superficiali,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Sommarovina
51_510,Sommarovina (https://www.notion.so/Sommarovina-6f63c62da0df4b6ca5420c6f13699859?pvs=21),San Giacomo Filippo,Sommarovina,"Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_20230607_184308%201.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9790.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9791.jpg",,,Motto,,non presente,fenomeni di degrado superficiali,multifunzione,disuso,fenomeni di degrado superficiali,510,PFA RURALE,"I2, LOCALE",,A04,,solè (parziale cardèn a valle),architravi lignei,,,,,,,,sentiero,,,intonaco_rustico,,fenomeni di degrado superficiali,"legno, pietra con legante",incardinato + basamento e/o parziale rivestimento in pietra,fenomeni di degrado superficiali,"legno, pietra",tecnica tradizionale,fenomeni di degrado superficiali,,,,,,,,,"2, seminterrato",,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Sommarovina
51_517,Sommarovina (https://www.notion.so/Sommarovina-6f63c62da0df4b6ca5420c6f13699859?pvs=21),San Giacomo Filippo,Sommarovina,,1204,P SF,Foppa,,parziale,"modifiche sostanziali caratteri tradizionali, senza fenomeni di degrado",residenziale,uso temporaneo,"modifiche sostanziali caratteri tradizionali, senza fenomeni di degrado",517,FA RURALE,"I3, LOCALE",Uso domestico_seconde case,,517+518,,architravi lignei,,,,,,,,sentiero,,,"intonaco_tintura, rivestimento in legno",,senza fenomeni di degrado,pietra con legante,muri portanti,senza fenomeni di degrado,"legno, pietra",tecnica moderna,senza fenomeni di degrado,,,,,,,,,"1, seminterrato, sottotetto",,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Sommarovina
51_518,Sommarovina (https://www.notion.so/Sommarovina-6f63c62da0df4b6ca5420c6f13699859?pvs=21),San Giacomo Filippo,Sommarovina,"Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_20230607_192421.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_20230607_192415.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_20230607_192132.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_20230607_192128.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_20230607_192117.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_20230607_192104.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_20230607_192026.jpg",1204,P SF,Foppa,,parziale,"modifiche sostanziali caratteri tradizionali, senza fenomeni di degrado",residenziale,uso temporaneo,"modifiche sostanziali caratteri tradizionali, senza fenomeni di degrado",518,FA RURALE,"I3, LOCALE",Uso domestico_seconde case,,517+518,,architravi lignei,,,,,,,,sentiero,,,"intonaco_tintura, rivestimento in legno",,senza fenomeni di degrado,pietra con legante,muri portanti,senza fenomeni di degrado,"legno, pietra",tecnica moderna,senza fenomeni di degrado,,,,,,,,,"1, seminterrato, sottotetto",,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Sommarovina
51_571,Sommarovina (https://www.notion.so/Sommarovina-6f63c62da0df4b6ca5420c6f13699859?pvs=21),San Giacomo Filippo,Sommarovina,"Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9785.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9786.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9780.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9781.jpg",,,Motto,,non presente,senza fenomeni di degrado,residenziale,uso temporaneo,senza fenomeni di degrado,571,FA RURALE,"I2, LOCALE",,A03,,,cornici lapidee o tinte,,,,,,,,sentiero,,,non presente,,,pietra con legante,muri portanti,senza fenomeni di degrado,"legno, pietra",tecnica tradizionale,senza fenomeni di degrado,,,,,,,,,"2, seminterrato",,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Sommarovina
51_599,Sommarovina (https://www.notion.so/Sommarovina-6f63c62da0df4b6ca5420c6f13699859?pvs=21),San Giacomo Filippo,Sommarovina,,,,Motto,,non presente,non rilevabile,non rilevabile,disuso,non rilevabile,509,FA RURALE,"I2, LOCALE",,C02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Sommarovina
54_124,Sommarovina (https://www.notion.so/Sommarovina-6f63c62da0df4b6ca5420c6f13699859?pvs=21),San Giacomo Filippo,Sommarovina,Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9761.jpg,3206,P SF,Motto,,presente,senza fenomeni di degrado,residenziale,uso temporaneo,senza fenomeni di degrado,0,FA RURALE,"I2, LOCALE",Uso domestico_seconde case,A04,"stalla signora intervista

decorazioni su prospetto est (disegno cantonali a muro)",,"architravi lignei, iscrizioni storiche",,,,,,,,sentiero,,,intonaco_tintura,,senza fenomeni di degrado,pietra con legante,muri portanti,senza fenomeni di degrado,"legno, pietra",tecnica moderna,senza fenomeni di degrado,,,,,,,,,"2, seminterrato",,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Sommarovina
54_128,Sommarovina (https://www.notion.so/Sommarovina-6f63c62da0df4b6ca5420c6f13699859?pvs=21),San Giacomo Filippo,Sommarovina,,3205,SF,Motto,,non presente,senza fenomeni di degrado,residenziale,uso temporaneo,senza fenomeni di degrado,0,PFA RURALE,"I2, LOCALE",,C02,nuova casa pieranna,,"architravi lignei, iscrizioni storiche",,,,,,,,sentiero,,,intonaco_tintura,,senza fenomeni di degrado,pietra con legante,muri portanti,senza fenomeni di degrado,"legno, pietra",tecnica moderna,senza fenomeni di degrado,,,,,,,,,"2, seminterrato",,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Sommarovina
54_136,Sommarovina (https://www.notion.so/Sommarovina-6f63c62da0df4b6ca5420c6f13699859?pvs=21),San Giacomo Filippo,Sommarovina,"Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_20230607_194548.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_20230607_194543.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_20230607_194546.jpg",3711,SF,Foppa,,parziale,fenomeni di degrado superficiali,produttivo rurale,disuso,fenomeni di degrado superficiali,136,FA RURALE,"I2, LOCALE",,C02,,tabìa (stalla / fienile con pilastri / tamponatura in legno),,,,,,,,,sentiero,,,intonaco_rustico,,fenomeni di degrado diffusi,"legno, pietra a secco",muri portanti,fenomeni di degrado superficiali,"legno, pietra",tecnica tradizionale,fenomeni di degrado superficiali,,,,,,,,,"1, seminterrato",,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Sommarovina
54_137,Sommarovina (https://www.notion.so/Sommarovina-6f63c62da0df4b6ca5420c6f13699859?pvs=21),San Giacomo Filippo,Sommarovina,,,,Foppa,,non presente,non rilevabile,non rilevabile,non rilevabile,non rilevabile,137,FA RURALE,"I2, LOCALE",Uso domestico_seconde case,C02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Sommarovina
54_192,Sommarovina (https://www.notion.so/Sommarovina-6f63c62da0df4b6ca5420c6f13699859?pvs=21),San Giacomo Filippo,Sommarovina,Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_20230607_194452.jpg,1194,P CC,Foppa,,parziale,senza fenomeni di degrado,residenziale,uso temporaneo,senza fenomeni di degrado,192,FA RURALE,"I2, LOCALE",Uso domestico_seconde case,,3 unità,,,,,,,,,,sentiero,,,intonaco_tintura,,senza fenomeni di degrado,"legno, pietra con legante",muri portanti,senza fenomeni di degrado,"legno, pietra",tecnica moderna,fenomeni di degrado superficiali,,,,,,,,,"1, seminterrato, sottotetto",,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Sommarovina
54_193,Sommarovina (https://www.notion.so/Sommarovina-6f63c62da0df4b6ca5420c6f13699859?pvs=21),San Giacomo Filippo,Sommarovina,"Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9137.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9129.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9127.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_20230607_194532.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_20230607_194456.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_20230607_194437.jpg",,,Foppa,,non presente,senza fenomeni di degrado,residenziale,uso temporaneo,senza fenomeni di degrado,193,FA RURALE,"I2, LOCALE",Uso domestico_seconde case,,visti interni,stua interna,"cornici lapidee o tinte, dipinti - affreschi, finestre a sguincio",,,,,,,,sentiero,,,intonaco_rustico,,fenomeni di degrado superficiali,pietra con legante,muri portanti,senza fenomeni di degrado,"laterizi, legno",tecnica moderna,senza fenomeni di degrado,,,,,,,,,"1, seminterrato",,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Sommarovina
54_197,Sommarovina (https://www.notion.so/Sommarovina-6f63c62da0df4b6ca5420c6f13699859?pvs=21),San Giacomo Filippo,Sommarovina,Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_20230607_192623.jpg,1205,P SF,Foppa,,presente,perdita funzionalità,non rilevabile,disuso - rudere,perdita funzionalità,197,FA RURALE,"I2, LOCALE",,,,,,,,,,,,,,,,,,,,,,,non presente,non presente,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Sommarovina
54_198,Sommarovina (https://www.notion.so/Sommarovina-6f63c62da0df4b6ca5420c6f13699859?pvs=21),San Giacomo Filippo,Sommarovina,"Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_20230607_194408.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_20230607_193712.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_20230607_193925.jpg",1213,P SF,Foppa,,presente,perdita funzionalità,non rilevabile,disuso - rudere,perdita funzionalità,198,FA RURALE,"I2, LOCALE",,C02,,,,,,,,,,,,,,,,,,,,,non presente,non presente,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Sommarovina
54_199,Sommarovina (https://www.notion.so/Sommarovina-6f63c62da0df4b6ca5420c6f13699859?pvs=21),San Giacomo Filippo,Sommarovina,"Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9125.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_20230607_194418.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_20230607_194406.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_20230607_193927.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_20230607_193933.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_20230607_193948.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_20230607_193954.jpg",1214,P SF,Foppa,,presente,fenomeni di degrado superficiali,produttivo rurale,disuso,fenomeni di degrado superficiali,199,FA RURALE,"I2, LOCALE",,A04,,tabìa (stalla / fienile con pilastri / tamponatura in legno),,,,,,,,,sentiero,,,non presente,,,"legno, pietra a secco",muri portanti,fenomeni di degrado superficiali,"legno, pietra",tecnica tradizionale,fenomeni di degrado superficiali,,,,,,,,,"1, seminterrato",,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Sommarovina
