Sottosistemi territoriali,Località,Comuni,SEZ2011,Com_Den,Pop_Res,case occ,case non occ,concat,%CASE NN OCC / TOT,%CASE occupate / TOT
Starleggia (https://www.notion.so/Starleggia-2c4de700098e489297123369d97d3738?pvs=21),Alpe Morone (https://www.notion.so/Alpe-Morone-8258b79c5d634c1391dec51ab1db2ee5?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),140120000018,Campodolcino,0,0,36,Alpe Morone,1,0
Starleggia (https://www.notion.so/Starleggia-2c4de700098e489297123369d97d3738?pvs=21),Alpe Gusone (https://www.notion.so/Alpe-Gusone-5095d1a9854746aaba48e467db56343d?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),140120000020,Campodolcino,0,0,18,Alpe Gusone,1,0
Starleggia (https://www.notion.so/Starleggia-2c4de700098e489297123369d97d3738?pvs=21),Alpe Fornat (https://www.notion.so/Alpe-Fornat-3ac0edf52b2e4563948728dda8fd2bd4?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),140120000021,Campodolcino,0,0,10,Alpe Fornat,1,0
Portarezza (https://www.notion.so/Portarezza-75e1c612637a4ac4bf5030718a5d3a6a?pvs=21),Servizio di Sopra (https://www.notion.so/Servizio-di-Sopra-6b98127b4c6d43f2a0a3d073e898ff4f?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),140120000025,Campodolcino,0,0,0,case sparse CP_1991_02,,
Fraciscio (https://www.notion.so/Fraciscio-31b6116ab8d74f17876c6b10d56ea92f?pvs=21),Fraciscio (https://www.notion.so/Fraciscio-592929440fdd42e6a321f27ae9826033?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),140120000026,Campodolcino,0,0,24,case sparse CP_1991_03,1,0
Motta (https://www.notion.so/Motta-11b7c49d99b1807b8945e85b66fa4cad?pvs=21),Alpe Motta (https://www.notion.so/Alpe-Motta-9e4d782b149e4d8dad237e7ecc2cdb64?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),140120000033,Campodolcino,0,0,89,Alpe Motta / Motta di Sopra,1,0
Campodolcino (https://www.notion.so/Campodolcino-3fe0740b771541769895f26ad77588e7?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-e3ee37c7c7da48e09f77f9ba6472db9a?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),140120000034,Campodolcino,1,1,23,,0.958333333333,0.041666666667
Portarezza (https://www.notion.so/Portarezza-75e1c612637a4ac4bf5030718a5d3a6a?pvs=21),Servizio di Sopra (https://www.notion.so/Servizio-di-Sopra-6b98127b4c6d43f2a0a3d073e898ff4f?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),140120000035,Campodolcino,0,0,27,Alpe di Servizio,1,0
Campodolcino (https://www.notion.so/Campodolcino-3fe0740b771541769895f26ad77588e7?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-e3ee37c7c7da48e09f77f9ba6472db9a?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),140120000036,Campodolcino,0,0,6,,1,0
Campodolcino (https://www.notion.so/Campodolcino-3fe0740b771541769895f26ad77588e7?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-e3ee37c7c7da48e09f77f9ba6472db9a?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),140120000037,Campodolcino,0,0,9,,1,0
