anno cens,Com_Den,Sottosistemi territoriali,Località,Loc_Fr di rif,Loc_Cod,Località 1971,Loc_pop res,Com_abitazioni occupate,"Com_abitazioni non occupate ",Com_n fam,% ab non occupate / tot,% ab non occupate / tot (1),concat
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),,,Pizzo Stella,4,,0,,,,,,
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),,,Pizzo Quadro,4,,0,,,,,,
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Starleggia (https://www.notion.so/Starleggia-2c4de700098e489297123369d97d3738?pvs=21),Splughetta (https://www.notion.so/Splughetta-ea499769ee4b47b89d7cc7089c741379?pvs=21),Starleggia,2,Splughetta,68,,,,,,
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Starleggia (https://www.notion.so/Starleggia-2c4de700098e489297123369d97d3738?pvs=21),Ca di Lucc (https://www.notion.so/Ca-di-Lucc-a5f8f9a632e74d1d865ebdc5c5317937?pvs=21),Starleggia,2,Ca de Luc,20,,,,,,
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Starleggia (https://www.notion.so/Starleggia-2c4de700098e489297123369d97d3738?pvs=21),Starleggia (https://www.notion.so/Starleggia-4bcaf289dbc64efea01a78f87a24755e?pvs=21),Starleggia,1,Starleggia,168,,,,,,
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Motta (https://www.notion.so/Motta-11b7c49d99b1807b8945e85b66fa4cad?pvs=21),Motta di Sotto / Marcadello (https://www.notion.so/Motta-di-Sotto-Marcadello-f5272861d33c47269c5fb3328fbc1bf5?pvs=21),Motta,1,Motta di Sotto,47,,,,,,
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Fraciscio (https://www.notion.so/Fraciscio-31b6116ab8d74f17876c6b10d56ea92f?pvs=21),Fraciscio (https://www.notion.so/Fraciscio-592929440fdd42e6a321f27ae9826033?pvs=21),Fraciscio,1,Fraciscio,204,,,,,,
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-3fe0740b771541769895f26ad77588e7?pvs=21),,Campodolcino,3,case sparse,50,,,,,,
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Portarezza (https://www.notion.so/Portarezza-75e1c612637a4ac4bf5030718a5d3a6a?pvs=21),Prestone (https://www.notion.so/Prestone-eee4523141d6486eba1a6657e4a2b6dc?pvs=21),Campodolcino,1,Prestone,219,,,,,,
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Portarezza (https://www.notion.so/Portarezza-75e1c612637a4ac4bf5030718a5d3a6a?pvs=21),Pietra (https://www.notion.so/Pietra-860742dcde46489ab9959bb256d306e2?pvs=21),Campodolcino,1,Pietra,119,,,,,,
