anno cens,Com_Den,Sottosistemi territoriali,Località,Località 1861 nome,Loc_Cod,Loc_pop res,Loc_n fam,Loc_ab occ,Loc_ab non occ,ab non occ / tot,ab occ / tot,concat
1861 (https://www.notion.so/1861-c5d43a4386f7469888bb2d7f8dd4fcda?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-3fe0740b771541769895f26ad77588e7?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-e3ee37c7c7da48e09f77f9ba6472db9a?pvs=21),Asee / Acero,2,88,18,16,1,0.058823529412,0.941176470588,
1861 (https://www.notion.so/1861-c5d43a4386f7469888bb2d7f8dd4fcda?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-3fe0740b771541769895f26ad77588e7?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-e3ee37c7c7da48e09f77f9ba6472db9a?pvs=21),Corti,1,253,68,47,11,0.189655172414,0.810344827586,
1861 (https://www.notion.so/1861-11c7c49d99b18091aadaf1e8401c641e?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-91234617eccd474aae4338f5c71427b8?pvs=21),case sparse (Chiavenna),3,17,5,4,0,0,1,case sparse Chiavenna_1861_2001
1861 (https://www.notion.so/1861-11c7c49d99b18091aadaf1e8401c641e?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),Uschione (https://www.notion.so/Uschione-f95a0da0233e40f1a88dbd2434e119d1?pvs=21),Uschione,2,229,35,30,13,0.302325581395,0.697674418605,Uschione
1861 (https://www.notion.so/1861-11c7c49d99b18091aadaf1e8401c641e?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),Tanno (https://www.notion.so/Tanno-271f37cec00a4bb2977ac3f822568d04?pvs=21),Tanno,2,38,8,7,4,0.363636363636,0.636363636364,Tanno
1861 (https://www.notion.so/1861-11c7c49d99b18091aadaf1e8401c641e?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),S Giovanni (https://www.notion.so/S-Giovanni-754cfca2a8b44b91b3701fed4421f74c?pvs=21),S Giovanni,2,79,14,11,1,0.083333333333,0.916666666667,S Giovanni
1861 (https://www.notion.so/1861-11c7c49d99b18091aadaf1e8401c641e?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),S Carlo (https://www.notion.so/S-Carlo-a8fef79ca98748b4a521194463ce8495?pvs=21),S Carlo Maina,2,58,14,14,3,0.176470588235,0.823529411765,S Carlo Maina_np - 1861 - 1951
1861 (https://www.notion.so/1861-11c7c49d99b18091aadaf1e8401c641e?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),S Carlo (https://www.notion.so/S-Carlo-a8fef79ca98748b4a521194463ce8495?pvs=21),S Carlo Crotti,2,50,10,9,4,0.307692307692,0.692307692308,S Carlo Crotti_np - 1861 - 1951
1861 (https://www.notion.so/1861-11c7c49d99b18091aadaf1e8401c641e?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-91234617eccd474aae4338f5c71427b8?pvs=21),Reguscio,2,52,11,4,0,0,1,Reguscio
1861 (https://www.notion.so/1861-11c7c49d99b18091aadaf1e8401c641e?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),Pianazzola (https://www.notion.so/Pianazzola-85917f662d144548bab106a8a850fcfe?pvs=21),Pianazzola,2,255,52,48,6,0.111111111111,0.888888888889,Pianazzola
